10,247; 1,5105e-8
11,152; 1,4133e-8
12,138; 1,2646e-8
13,158; 1,1831e-8
14,321; 1,0586e-8
15,587; 9,6864e-9
16,896; 8,6670e-9
18,389; 7,5838e-9
20,095; 6,3462e-9
21,783; 5,8065e-9
23,612; 4,8587e-9
25,595; 3,9759e-9
27,521; 3,2533e-9
29,832; 2,5459e-9
32,076; 1,9922e-9
34,351; 1,4908e-9
36,638; 1,0909e-9
39,235; 7,8072e-10
41,344; 5,5866e-10
43,741; 3,7386e-10
45,906; 2,5583e-10
47,983; 1,6372e-10
49,751; 1,0713e-10
51,377; 7,0102e-11
52,842; 4,5870e-11
54,567; 2,8070e-11
55,448; 1,8162e-11
56,799; 1,1239e-11
58,066; 7,1911e-12
58,883; 4,4002e-12
59,592; 2,7532e-12
60,309; 1,7035e-12
60,913; 1,0659e-12
61,646; 6,6692e-13
62,262; 4,1265e-13
63,012; 2,5819e-13
