Er[eV],Seccion_ef[cm2/eV]
10.027190024098449,1.5715301257378535e-12
10.247388641890067,1.7546871395234024e-12
10.529449363123886,2.002873758427796e-12
10.760677672380462,2.252788142034689e-12
10.93742515963776,2.460483362481933e-12
10.93742515963776,2.460483362481933e-12
11.177612679427789,2.7674973119743963e-12
11.361208454226896,3.067375004783798e-12
11.547819846894582,3.3501708504852644e-12
11.737496389894968,3.713185297080733e-12
11.995253595570482,4.301030950562034e-12
12.258671188680472,4.837704564842966e-12
12.493902521130488,5.28376125069373e-12
12.872704838562404,5.728913723634222e-12
13.407829868280032,6.303706870261414e-12
13.77688215027974,6.685778226420766e-12
13.889566110915151,7.195503318527257e-12
14.041246394604164,7.9750482871933e-12
14.233178200577306,8.969924996852778e-12
14.349594300720698,1.001490851104712e-11
14.466962592158374,1.1181631119528233e-11
14.624948304064262,1.2762521155040056e-11
14.784659290713032,1.414518456487931e-11
14.905586068437474,1.54488947725256e-11
15.0683617451834,1.7122593978578833e-11
15.2329150052339,1.84281836378934e-11
15.441135899948314,1.9979704393771975e-11
15.737435467526288,2.1982784064091246e-11
15.995927753927402,2.3659370746832922e-11
16.34720075994846,2.509294435206853e-11
16.706187774600796,2.5466033215480903e-11
17.166027792135488,2.4913201387700342e-11
17.542996372935924,2.3321232416475823e-11
17.928243241097398,2.1043815824261044e-11
18.222720228539828,1.898846962457033e-11
18.4217204962068,1.7133571966643005e-11
18.62289393593784,1.5234432351776965e-11
18.877452937690304,1.3348387833545262e-11
18.98024817826965,1.2044235600498627e-11
19.083603179825275,1.0867500480901922e-11
19.187520990478333,9.805733682054023e-12
19.29200467494827,8.71868393956852e-12
19.397057314643096,7.866858889921595e-12
19.50268200775035,7.098258088364788e-12
19.608881869328428,6.357881353258215e-12
19.71566003139844,5.611687352982885e-12
19.876918481216432,4.845168647792468e-12
20.09398333479201,4.2452930682608765e-12
20.31341863380171,3.8872745122246915e-12
20.64707287105717,3.559510415968411e-12
21.10048573116285,3.30767197694992e-12
21.447067790995742,3.0287783426496337e-12
21.740230829252532,2.6151129159049757e-12
22.03740115502469,2.3252656219125336e-12
22.278059447175067,2.0523959155754423e-12
22.58258142927749,1.811563134513143e-12
22.82919333423335,1.6107637145041048e-12
23.01591801511193,1.453402908981012e-12
23.20416995566801,1.311415198153241e-12
23.52135107481787,1.1490601206229536e-12
23.827394232154905,1.0134661265458692e-12
24.302308560448058,8.98819581232827e-13
25.032487103803703,8.078774542565295e-13
25.72107400544421,7.358868455889767e-13
26.298528680759897,6.884331392005825e-13
27.22266678278651,6.187875482291568e-13
28.179279371959705,5.599114732417772e-13
29.16950761139473,5.13444106820966e-13
30.04592429111518,4.771513436153616e-13
31.10174698694305,4.4048179182686817e-13
32.194671605621565,4.093528074288074e-13
33.161981289733845,3.829647081608817e-13
34.15835441752523,3.6067640903852816e-13
35.88594531625065,3.2855951265043735e-13
37.23874009666359,3.053425130470428e-13
38.83365894183177,2.8000857712862306e-13
40.00044128470208,2.637122584578029e-13
41.40606866172397,2.467164648560976e-13
42.65014071464436,2.339134098111254e-13
43.71537353917177,2.2177126369596657e-13
45.25154473803549,2.0609861993265144e-13
47.30620557921372,1.890003290259084e-13
49.45415895209912,1.7332054131936554e-13
51.19199277337868,1.6215033571562878e-13
53.78107595115413,1.4672906761066537e-13
55.67095891980896,1.3545279391758752e-13
57.62725293681201,1.2588030309782707e-13
59.94733458611332,1.1543524301867696e-13
62.36082306265532,1.058568735763627e-13
64.55220089087967,9.772166834280988e-14
66.4917134231835,9.081421858906507e-14
69.51079090715345,8.162953418998249e-14
72.6669505685099,7.144120554454672e-14
74.85027599145208,6.551122890512286e-14
77.48053690188526,5.92780006564752e-14
79.80848963249568,5.3996115311129886e-14
82.81703538086668,4.951533712583553e-14
86.15126136327416,4.6324889346172804e-14
90.28543993741135,4.633181593024185e-14
92.76898746075372,4.633582653122064e-14
94.85171097075091,4.6030921428279116e-14
96.74224235509926,5.0541607265639115e-14
97.94291201198864,5.853588647756776e-14
98.42734199798652,6.556847515733039e-14
99.15848320092732,7.247285658696845e-14
99.89505549087896,7.54351311173361e-14
101.63507224298198,7.645283202778498e-14
102.13776381720773,8.172980099058681e-14
102.39004121270412,8.173044412359835e-14
102.89646689693252,9.094079368016177e-14
