Er;sec_ef_dif
10.027190024098447; 1.5715301257378536e-20
10.247388641890067; 1.7546871395234024e-20
10.529449363123886; 2.002873758427796e-20
10.760677672380462; 2.252788142034689e-20
10.93742515963776; 2.4604833624819326e-20
10.93742515963776; 2.4604833624819326e-20
11.177612679427789; 2.767497311974396e-20
11.361208454226897; 3.067375004783798e-20
11.547819846894582; 3.3501708504852645e-20
11.737496389894968; 3.713185297080733e-20
11.995253595570482; 4.3010309505620346e-20
12.258671188680472; 4.837704564842966e-20
12.493902521130487; 5.28376125069373e-20
12.872704838562404; 5.728913723634222e-20
13.407829868280032; 6.303706870261414e-20
13.77688215027974; 6.685778226420766e-20
13.889566110915153; 7.195503318527257e-20
14.041246394604165; 7.9750482871933e-20
14.233178200577306; 8.969924996852777e-20
14.349594300720698; 1.001490851104712e-19
14.466962592158374; 1.1181631119528233e-19
14.624948304064262; 1.2762521155040056e-19
14.784659290713032; 1.414518456487931e-19
14.905586068437474; 1.5448894772525601e-19
15.068361745183399; 1.7122593978578832e-19
15.2329150052339; 1.8428183637893395e-19
15.441135899948314; 1.9979704393771979e-19
15.737435467526288; 2.1982784064091246e-19
15.995927753927402; 2.3659370746832916e-19
16.34720075994846; 2.509294435206853e-19
16.706187774600796; 2.5466033215480904e-19
17.166027792135488; 2.4913201387700343e-19
17.542996372935924; 2.332123241647582e-19
17.928243241097398; 2.1043815824261044e-19
18.222720228539828; 1.898846962457033e-19
18.421720496206802; 1.7133571966643005e-19
18.622893935937842; 1.5234432351776964e-19
18.877452937690304; 1.334838783354526e-19
18.98024817826965; 1.2044235600498626e-19
19.083603179825275; 1.0867500480901921e-19
19.187520990478333; 9.805733682054023e-20
19.29200467494827; 8.71868393956852e-20
19.397057314643096; 7.866858889921594e-20
19.50268200775035; 7.098258088364788e-20
19.608881869328428; 6.357881353258215e-20
19.71566003139844; 5.611687352982885e-20
19.876918481216432; 4.845168647792468e-20
20.09398333479201; 4.2452930682608764e-20
20.31341863380171; 3.887274512224692e-20
20.647072871057166; 3.559510415968411e-20
21.10048573116285; 3.30767197694992e-20
21.447067790995746; 3.028778342649634e-20
21.740230829252535; 2.6151129159049753e-20
22.037401155024686; 2.3252656219125338e-20
22.278059447175067; 2.0523959155754425e-20
22.582581429277486; 1.811563134513143e-20
22.82919333423335; 1.6107637145041048e-20
23.015918015111932; 1.453402908981012e-20
23.204169955668014; 1.311415198153241e-20
23.52135107481787; 1.1490601206229537e-20
23.827394232154905; 1.0134661265458692e-20
24.302308560448058; 8.988195812328271e-21
25.032487103803703; 8.078774542565295e-21
25.721074005444212; 7.358868455889767e-21
26.298528680759897; 6.884331392005824e-21
27.22266678278651; 6.187875482291568e-21
28.179279371959705; 5.5991147324177715e-21
29.169507611394735; 5.13444106820966e-21
30.04592429111518; 4.771513436153616e-21
31.101746986943052; 4.404817918268682e-21
32.194671605621565; 4.093528074288074e-21
33.161981289733845; 3.829647081608817e-21
34.15835441752523; 3.606764090385282e-21
35.88594531625065; 3.2855951265043735e-21
37.23874009666359; 3.053425130470428e-21
38.83365894183177; 2.8000857712862305e-21
40.00044128470208; 2.6371225845780295e-21
41.40606866172397; 2.467164648560976e-21
42.65014071464436; 2.3391340981112537e-21
43.71537353917177; 2.2177126369596656e-21
45.251544738035484; 2.0609861993265145e-21
47.30620557921372; 1.8900032902590837e-21
49.454158952099114; 1.7332054131936554e-21
51.19199277337868; 1.6215033571562876e-21
53.78107595115413; 1.4672906761066536e-21
55.67095891980896; 1.3545279391758752e-21
57.62725293681201; 1.2588030309782708e-21
59.94733458611332; 1.1543524301867696e-21
62.36082306265532; 1.0585687357636267e-21
64.55220089087967; 9.77216683428099e-22
66.4917134231835; 9.081421858906508e-22
69.51079090715345; 8.16295341899825e-22
72.6669505685099; 7.144120554454671e-22
74.85027599145208; 6.551122890512285e-22
77.48053690188526; 5.927800065647519e-22
79.80848963249568; 5.399611531112988e-22
82.81703538086668; 4.951533712583553e-22
86.15126136327416; 4.63248893461728e-22
90.28543993741137; 4.633181593024185e-22
92.76898746075372; 4.633582653122063e-22
94.85171097075093; 4.603092142827911e-22
96.74224235509926; 5.054160726563911e-22
97.94291201198864; 5.853588647756776e-22
98.42734199798652; 6.556847515733039e-22
99.15848320092732; 7.247285658696845e-22
99.89505549087897; 7.5435131117336105e-22
101.63507224298198; 7.645283202778497e-22
102.13776381720773; 8.172980099058681e-22
102.39004121270412; 8.173044412359834e-22
102.89646689693251; 9.094079368016177e-22
103.150618267634; 1.0186575464457552e-21
103.40539738505205; 1.1259047926765078e-21
103.91684506593388; 1.2781168423465435e-21
104.43082238972504; 1.4316717054875593e-21
105.20655884218031; 1.6803732675468373e-21
107.30347727722862; 1.8450372730504363e-21
111.07415331145035; 1.7261278493338435e-21
114.41144792556831; 1.920799417560428e-21
116.69183307432668; 2.0672232787833675e-21
119.90176053579698; 2.095178286967117e-21
123.50428630556243; 2.0675974524124204e-21
126.90160889255974; 2.0133142563766776e-21
131.36096908756153; 1.9345118564024507e-21
136.31289195779902; 1.8219675241068702e-21
141.4514877818304; 1.727459484186032e-21
147.50979273400418; 1.6378794870462468e-21
154.58841021384407; 1.5633666928587992e-21
159.23311875701995; 1.5122091103970005e-21
164.42249886902476; 1.4242107221214276e-21
170.62074434625168; 1.3060249545310472e-21
177.05264548046176; 1.173909698534657e-21
182.8227609213085; 1.076477805060375e-21
188.31578875155495; 9.87124774296003e-22
193.97385814769734; 9.112489196080716e-22
200.7901570854605; 8.300663917623448e-22
207.84598279065793; 7.662749701350031e-22
215.14975230497853; 7.02681381651804e-22
221.61406545245677; 6.61785778249663e-22
229.40164947724173; 6.191348428648183e-22
