masa[MeV/c2]\Rate[day⁻¹kg⁻¹],1e,2e,3e,4e,5e,6e,7e
10.23045188612373,0.0,10380030804.994703,218185762919.05212,691856617750.1112,646884936735.4924,166731509152.56647,10556812858.993578
10.693991461161229,0.0,10382566144.311287,218239055144.6187,692025604848.259,647042939427.7987,166772233593.40958,10559391377.612843
11.178533914665644,0.0,10310577627.300438,216725873748.48404,687227379021.0288,642556605220.5979,165615902335.01883,10486176825.907051
11.685030882543929,0.0,10132253387.981983,212977540922.34872,675341594923.1277,631443414283.3978,162751530340.50192,10304815550.774662
12.214477119121335,0.0,10126549685.7969,212857650467.6772,674961428026.077,631087958784.6166,162659913379.92242,10299014708.975388
12.767912450827689,0.0,10129099481.193405,212911246556.58344,675131378660.3403,631246862381.7971,162700870024.70282,10301607929.875725
13.34642381840474,0.0,9930017796.900188,208726597205.65625,661862055732.6257,618840064640.1907,159503077042.1549,10099135690.224426
13.951147411645517,0.0,9687357909.399147,203625944454.3378,645688129837.4049,603717467325.8531,155605299664.233,9852343068.038729
14.58327090085826,0.0,9538302256.802662,200492830315.26297,635753174768.4548,594428298708.5935,153211060728.72098,9700748852.222042
15.24403576943748,0.0,9416751145.801182,197937855056.92798,627651470436.2491,586853216878.1536,151258619492.54507,9577127607.184124
15.934739752123306,0.0,9272439411.477654,194904456944.4292,618032710117.8613,577859689895.2526,148940580779.15244,9430358103.19795
16.65673938373792,0.0,9116111632.872963,191618484457.34436,607613048539.0356,568117321392.4504,146429531733.2588,9271367909.970604
17.411452663404564,0.0,8952700676.235907,188183625263.47458,596721274334.6835,557933528267.7535,143804707595.0635,9105173905.27686
18.20036183948184,0.0,8859382590.136019,186222101430.61148,590501376086.1237,552117932403.2445,142305765480.25046,9010266521.105906
19.025016320682735,0.0,8778741815.067453,184527051641.13953,585126454282.9207,547092388292.77527,141010455439.36453,8928252354.944336
19.88703571909585,0.0,8690056822.84861,182662914332.66187,579215364044.9033,541565527471.39246,139585933405.70007,8838056970.764444
20.78811303108525,0.0,8554598759.240126,179815618259.3464,570186724390.9584,533123762456.0589,137410108709.54794,8700291924.145475
21.73001796231618,0.0,8413003119.897996,176839311813.2222,560748999015.782,524299502883.1701,135135697864.29536,8556284772.888742
22.714600403437032,0.0,8267323418.116109,173777159352.19034,551039060033.6006,515220723981.5242,132795685875.18816,8408124003.623457
23.74379406324371,0.0,8159276935.962226,171506048159.71478,543837475076.1829,508487252464.3708,131060165685.83821,8298237384.440952
24.8196202664618,0.0,8046334890.93591,169132033407.48038,536309587852.9495,501448688800.71857,129246009449.90932,8183371826.172942
25.94419192360557,0.0,7928275466.13614,166650452557.32263,528440613678.40375,494091209331.01605,127349654185.04074,8063301734.160124
27.11971768071033,0.0,7844242032.498301,164884089896.80365,522839562172.2148,488854234275.38116,125999848825.79585,7977837129.143107
28.348506257088303,0.0,7799596895.463278,163945659802.74988,519863845231.8394,486071943240.8929,125282726573.07666,7932431641.857265
29.63297097962731,0.0,7752928896.869541,162964709642.9315,516753299196.78394,483163587197.92676,124533111665.29434,7884968841.706344
30.975634522537483,0.0,7704146381.294855,161939312842.31198,513501814989.7617,480123454168.05707,123749531867.23518,7835355512.286833
32.379133861854946,0.0,7632274838.536001,160428590216.95477,508711385807.0569,475644409812.20874,122595079533.28442,7762259927.018697
33.84622545443301,0.0,7523563692.814368,158143507955.38144,501465499257.80707,468869516370.7805,120848883040.3847,7651697324.399266
35.379790651592224,0.0,7409926868.456973,155754889107.9127,493891303147.14246,461787653964.3719,119023566759.88809,7536125154.030168
36.982841358061904,0.0,7291691004.345004,153269599545.64566,486010568823.89667,454419178772.64746,117124377400.07802,7415875617.771482
38.65852594732697,0.0,7186387454.213261,151056144127.7173,478991807569.7229,447856647153.5488,115432916154.6894,7308778645.420154
40.41013544499791,0.0,7076312622.869179,148742397520.7768,471655027752.41394,440996768637.97424,113664815163.99854,7196829132.281369
42.24110999234798,0.0,6961250324.587027,146323815552.61627,463985820019.2597,433826070501.9846,111816601897.62607,7079807210.77552
44.15504560271173,0.0,6830822393.911631,143582251669.5234,455292452083.0293,425697784057.7,109721574809.00789,6947157965.162166
46.15570122401461,0.0,6691488683.630449,140653490430.8368,446005490286.4105,417014488212.6633,107483496692.72433,6805451265.825601
48.24700612130434,0.0,6545841792.898291,137592027650.2164,436297738247.8246,407937754100.1154,105144011738.26093,6657323866.414239
50.43306759378293,0.0,6426035781.82161,135073733974.58731,428312349459.79144,400471427135.2112,103219601550.3112,6535477442.055804
52.71817904149604,0.0,6427543217.628463,135105419914.42201,428412824059.3757,400565370740.4728,103243815066.79768,6537010550.965484
