masa[MeV/c2]\Rate[day⁻¹kg⁻¹],1e,2e,3e,4e,5e,6e,7e
10.18939953,0.0,92370510609.0137,1941606022860.0005,6156739825767.366,5756542830565.081,1483721476782.4443,93943670544.77505
10.715335875476647,0.0,88803009465.34122,1866618002750.0574,5918956400896.1,5534215672295.194,1426417711431.2083,90315411375.26723
11.26841896681196,0.0,85051368077.83379,1787759398791.1821,5668899539781.268,5300412868892.7,1366156153244.1785,86499875873.87798
11.85005001123768,0.0,81138620586.9815,1705514383102.9417,5408104529054.644,5056569911137.313,1303306793127.7517,82520490474.98799
12.461702540739171,0.0,77765543284.91634,1634613105605.586,5183279969526.982,4846359273217.009,1249126003144.8381,79089966374.83923
13.104926145172064,0.0,74218361125.73615,1560052185686.0447,4946850858930.022,4625298396834.405,1192148615914.4854,75482372241.95792
13.78135039806748,0.0,70635349274.84529,1484738134223.0708,4708033604233.334,4402004609173.317,1134595706444.9775,71838338202.75159
14.492688985071808,0.0,67273704631.4475,1414077168474.341,4483971061765.747,4192506456101.825,1080598556035.8811,68419441470.60392
15.2407440454801,0.0,63738545239.38034,1339768964241.7026,4248343300523.8223,3972194840206.923,1023814287124.9829,64824074864.29205
16.027410737862187,0.0,60440878829.93877,1270452805656.6694,4028545077246.2397,3766683819409.1895,970844801055.3121,61470245977.85824
16.854682041348358,0.0,57097186727.38166,1200169198019.225,3805679119299.394,3558304471133.5737,917136017249.7185,58069607535.84081
17.724653804738185,0.0,53580906515.03066,1126257829625.2312,3571309705519.9863,3339169408295.762,860654999281.4014,54493441640.098976
18.639530056224498,0.0,50222496569.015015,1055664856441.205,3347462764222.791,3129872842006.69,806709806904.6373,51077834695.386444
19.60162858718403,0.0,46821353264.42468,984173638288.7511,3120767531096.4087,2917913126977.7524,752078200633.7168,47618766601.301186
20.61338682418136,0.0,43527759322.18106,914943081989.4186,2901240748572.1753,2712655902891.7256,699174129456.8003,44269079540.15586
21.677368004062178,0.0,40343402404.60539,848008661801.2349,2688994903825.4556,2514206345094.8486,648024701818.0759,41030489916.807915
22.79626766778052,0.0,37121435795.100914,780283694891.0997,2474242273237.602,2313412946162.904,596271160298.3951,37753650071.77605
23.972920489411504,0.0,34252901574.209915,719987792190.7582,2283046849905.031,2134645501936.0747,550194703620.1742,34836261913.834
25.210307457650583,0.0,31236305006.70388,656579654405.31,2081982677984.9375,1946650792056.3435,501739963200.4525,31768289763.026894
26.511563427993256,0.0,28233012688.159813,593451168748.4891,1881805269588.137,1759485204788.073,453498925181.932,28713848445.52457
27.87998506472841,0.0,25416764270.899807,534254301125.15076,1694094833914.6655,1583976218981.0127,408262320630.3979,25849636569.47264
29.31903919286572,0.0,22455152292.60094,472001926243.52625,1496695530879.0603,1399408156206.5674,360690782169.40594,22837585449.083813
30.83237158115636,0.0,20148189586.957764,423510122373.89264,1342930340313.9297,1255637925469.5798,323634690458.62885,20491332917.30581
32.42381617845848,0.0,17877087107.022903,375772091865.01385,1191555329020.5576,1114102508893.98,287154611446.00494,18181551345.874256
34.097404826847175,0.0,15826336646.038824,332665808050.2196,1054867364944.0723,986299460219.4393,254213984806.3742,16095874603.307518
35.85737747607648,0.0,13876908698.501184,291689299215.1439,924932815454.879,864810844414.3217,222900873141.93277,14113245995.467146
37.70819292527147,0.0,12089279294.603113,254113757038.68417,805782568561.9272,753405535935.789,194186685880.1754,12295171518.35621
39.65454011906391,0.0,10790066919.766472,226804623903.8186,719186613667.3572,672438443381.7125,173317803693.23926,10973832288.935104
41.70135002678942,0.0,9423794360.82301,198085901750.79727,628120919421.0004,587292150999.7766,151371752670.27228,9584290775.03092
43.85380813484166,0.0,8373387233.45884,176006595362.87387,558108494983.0022,521830635432.35455,134499359046.37599,8515994189.244225
46.117367583832326,0.0,7354024460.912,154579833882.32098,490165259233.1356,458303808294.98413,118125622143.89038,7479270673.932141
48.49776298383919,0.0,6534024912.1784,137343639646.01588,435510111767.6328,407201324480.5405,104954200513.90933,6645305732.684145
51.00102494274218,0.0,6026252889.553923,126670393272.60803,401665758050.29504,375556902715.10297,96798001632.79503,6128885857.003246
53.63349534445476,0.0,5492271691.292739,115446236300.8402,366074493177.23065,342279121546.19586,88220812150.62677,5585810437.848231
56.40184341575677,0.0,5114851553.544126,107512955346.0216,340918438741.6417,318758247040.43494,82158418855.88663,5201962466.84698
59.31308262243349,0.0,4783427648.573525,100546504194.3712,318828155365.58856,298103864040.3022,76834850083.9717,4864894089.35354
62.37458843752613,0.0,4434896957.587652,93220472495.4223,295597659273.8462,276383383800.4665,71236499829.93398,4510427580.585269
65.59411702670907,0.0,4026503817.3876815,84636146442.88673,268377171974.7969,250932267553.8416,64676595926.72669,4095079106.6758018
68.9798248981321,0.0,3617727295.074895,76043761790.10747,241131131239.84155,225457258881.61093,58110533864.699554,3679340721.28201
72.54028956650914,0.0,3423917704.4338007,71969930585.8004,228213207354.30164,213379018736.09344,54997425036.5175,3482230364.1825237
76.28453128380565,0.0,3220104432.2685914,67685824390.374016,214628511529.9932,200677347792.39987,51723629891.60556,3274945953.100438
80.2220358915775,0.0,3038760199.453608,63874012023.81835,202541436845.83215,189375950448.23978,48810748592.75549,3090513251.035203
84.36277885285713,0.0,2877310211.383251,60480371919.83597,191780366403.88275,179314365152.30948,46217422939.93745,2926313612.1164665
88.71725052446955,0.0,2710894450.585698,56982352461.75332,180688314022.8527,168943312222.14725,43544333479.43243,2757063628.5151205
93.29648273380616,0.0,2547695856.2634306,53551957072.90852,169810694330.71783,158772753545.89728,40922920457.24411,2591085602.873619
98.11207672738504,0.0,2376073598.5023046,49944498294.897644,158371615100.99963,148077231014.23123,38166200503.4927,2416540450.584634
103.1762325620052,0.0,2223792904.288,46743594552.97393,148221702443.9917,138587077363.1017,35720158633.46913,2261666267.5442047
108.50178001295586,0.0,2087605793.0638075,43880974073.2838,139144469830.444,130099878000.83582,33532623450.95194,2123159756.9171894
114.10221107758466,0.0,1944389243.905867,40870596490.81812,129598706511.65143,121174603106.95683,31232176388.19023,1977504090.1687121
