Er;P_100K
2.76596e+0; 2.68205e-3
2.95056e+0; 7.60365e-3
3.08594e+0; 1.45001e-2
3.22131e+0; 1.05485e-2
3.29515e+0; 2.23791e-2
3.35053e+0; 3.17451e-2
3.41821e+0; 3.91381e-2
3.54128e+0; 2.63114e-2
3.61512e+0; 3.41972e-2
3.72588e+0; 2.28503e-2
3.88586e+0; 2.53077e-2
3.97201e+0; 3.41791e-2
4.04585e+0; 4.60096e-2
4.11969e+0; 5.78402e-2
4.19353e+0; 6.86846e-2
4.21814e+0; 8.05177e-2
4.27968e+0; 9.23489e-2
4.32890e+0; 9.82635e-2
4.36582e+0; 1.03193e-1
4.47658e+0; 1.03187e-1
4.55042e+0; 1.16004e-1
4.64887e+0; 1.23888e-1
4.75963e+0; 1.33745e-1
4.88270e+0; 1.38669e-1
4.95654e+0; 1.52472e-1
5.01807e+0; 1.63317e-1
5.10422e+0; 1.71203e-1
5.17806e+0; 1.82047e-1
5.26421e+0; 1.94863e-1
5.32574e+0; 2.04722e-1
5.43650e+0; 2.15564e-1
5.51034e+0; 2.25423e-1
5.57187e+0; 2.39226e-1
5.63340e+0; 2.51550e-1
5.76878e+0; 2.71761e-1
5.81800e+0; 2.84579e-1
5.86723e+0; 2.95424e-1
5.92261e+0; 3.06763e-1
5.97184e+0; 3.19087e-1
6.00260e+0; 3.32893e-1
6.01491e+0; 3.44726e-1
6.07644e+0; 3.56558e-1
6.07644e+0; 3.69378e-1
6.15028e+0; 3.80222e-1
6.17489e+0; 3.95014e-1
6.24873e+0; 4.03886e-1
6.28565e+0; 4.17691e-1
6.29796e+0; 4.29525e-1
6.33488e+0; 4.39385e-1
6.38411e+0; 4.53189e-1
6.42103e+0; 4.66501e-1
6.44564e+0; 4.77841e-1
6.47025e+0; 4.89674e-1
6.49487e+0; 5.03479e-1
6.53179e+0; 5.16298e-1
6.55640e+0; 5.28131e-1
6.59332e+0; 5.39963e-1
6.66716e+0; 5.52780e-1
6.71639e+0; 5.63626e-1
6.74100e+0; 5.76445e-1
6.79023e+0; 5.89263e-1
6.83945e+0; 6.00109e-1
6.91329e+0; 6.12925e-1
6.99944e+0; 6.09962e-1
7.04866e+0; 6.15877e-1
7.14712e+0; 6.09955e-1
7.22096e+0; 6.20799e-1
7.27018e+0; 6.32631e-1
7.29480e+0; 6.41506e-1
7.31941e+0; 6.48408e-1
7.33172e+0; 6.58269e-1
7.35633e+0; 6.68130e-1
7.36864e+0; 6.79963e-1
7.39325e+0; 6.96727e-1
7.41786e+0; 7.14478e-1
7.45478e+0; 7.34200e-1
7.49170e+0; 7.49977e-1
7.50401e+0; 7.62797e-1
7.52862e+0; 7.77588e-1
7.54093e+0; 7.91395e-1
7.56554e+0; 8.05693e-1
7.66399e+0; 7.90402e-1
7.71322e+0; 7.77579e-1
7.76245e+0; 7.65742e-1
7.78706e+0; 7.53414e-1
7.84859e+0; 7.42069e-1
7.89782e+0; 7.29246e-1
7.92243e+0; 7.19383e-1
7.97166e+0; 7.06560e-1
8.05781e+0; 6.94721e-1
8.09473e+0; 6.79927e-1
8.14395e+0; 6.68090e-1
8.21779e+0; 6.58224e-1
8.24856e+0; 6.45895e-1
8.29163e+0; 6.30607e-1
8.34086e+0; 6.14825e-1
8.43931e+0; 5.98055e-1
8.46392e+0; 5.84247e-1
8.52546e+0; 5.71423e-1
8.63622e+0; 5.50708e-1
8.69775e+0; 5.34432e-1
8.75928e+0; 5.22102e-1
8.85774e+0; 5.04345e-1
8.90696e+0; 4.89550e-1
8.96850e+0; 4.78699e-1
9.03003e+0; 4.66861e-1
9.07925e+0; 4.56011e-1
9.14079e+0; 4.42201e-1
9.17771e+0; 4.31351e-1
9.25155e+0; 4.19513e-1
9.32539e+0; 4.07675e-1
9.35000e+0; 3.95839e-1
9.38692e+0; 3.89920e-1
9.43615e+0; 3.79070e-1
9.53460e+0; 3.61313e-1
9.62075e+0; 3.45530e-1
9.68228e+0; 3.32706e-1
9.80534e+0; 3.15934e-1
9.86072e+0; 3.02125e-1
9.94687e+0; 2.86342e-1
1.00761e+1; 2.69570e-1
1.01608e+1; 2.54220e-1
1.02316e+1; 2.38595e-1
1.03380e+1; 2.24389e-1
1.04443e+1; 2.08762e-1
1.05329e+1; 1.95976e-1
1.06747e+1; 1.80348e-1
1.07810e+1; 1.67562e-1
1.08873e+1; 1.53355e-1
1.10468e+1; 1.40566e-1
1.11000e+1; 1.27782e-1
1.12506e+1; 1.14993e-1
1.14278e+1; 1.01493e-1
1.15253e+1; 9.15474e-2
1.16848e+1; 7.87583e-2
1.18975e+1; 6.73866e-2
1.20658e+1; 5.53070e-2
1.22873e+1; 4.53550e-2
1.24114e+1; 4.10883e-2
1.26418e+1; 3.04257e-2
1.28367e+1; 2.54454e-2
1.29962e+1; 2.11770e-2
1.31380e+1; 1.83296e-2
1.33329e+1; 1.40593e-2
1.35633e+1; 9.78728e-3
1.37937e+1; 6.93536e-3
1.40063e+1; 5.50446e-3
1.42544e+1; 2.65164e-3
1.44316e+1; 1.93259e-3
1.46797e+1; -2.10172e-4
