Er;P_100K
8.13165e+0; 5.36849e-3
8.37778e+0; 7.32839e-3
8.63622e+0; 8.30148e-3
8.80851e+0; 1.22375e-2
8.98080e+0; 1.91321e-2
9.10387e+0; 2.20845e-2
9.36231e+0; 3.78504e-2
9.55921e+0; 4.67162e-2
9.85457e+0; 6.74113e-2
9.94072e+0; 7.43103e-2
1.00146e+1; 8.12099e-2
1.02668e+1; 1.04866e-1
1.03345e+1; 1.16697e-1
1.04699e+1; 1.25565e-1
1.06176e+1; 1.47254e-1
1.07160e+1; 1.58097e-1
1.08022e+1; 1.67955e-1
1.09622e+1; 1.89643e-1
1.10975e+1; 2.08374e-1
1.12575e+1; 2.32034e-1
1.13991e+1; 2.51751e-1
1.15283e+1; 2.63579e-1
1.15529e+1; 2.75412e-1
1.16267e+1; 2.88229e-1
1.17006e+1; 2.98087e-1
1.18482e+1; 3.20762e-1
1.18975e+1; 3.31607e-1
1.19775e+1; 3.40479e-1
1.21251e+1; 3.66113e-1
1.22544e+1; 3.84844e-1
1.24390e+1; 4.11462e-1
1.25497e+1; 4.28221e-1
1.27343e+1; 4.54839e-1
1.28820e+1; 4.71597e-1
1.30912e+1; 4.91310e-1
1.31404e+1; 5.02156e-1
1.32635e+1; 5.12998e-1
1.34850e+1; 5.33697e-1
1.36696e+1; 5.49466e-1
1.39404e+1; 5.66218e-1
1.40142e+1; 5.71145e-1
1.41004e+1; 5.69168e-1
1.41865e+1; 5.74095e-1
1.43342e+1; 5.75074e-1
1.44572e+1; 5.78026e-1
1.46172e+1; 5.85907e-1
1.48387e+1; 5.83924e-1
1.49741e+1; 5.82931e-1
1.51341e+1; 5.75033e-1
1.52572e+1; 5.72068e-1
1.55033e+1; 5.55290e-1
1.56018e+1; 5.49368e-1
1.57125e+1; 5.40487e-1
1.59217e+1; 5.15822e-1
1.59956e+1; 5.11873e-1
1.60694e+1; 4.98063e-1
1.62540e+1; 4.76357e-1
1.63894e+1; 4.57612e-1
1.65740e+1; 4.32948e-1
1.66724e+1; 4.10261e-1
1.68447e+1; 3.88556e-1
1.69924e+1; 3.66852e-1
1.71647e+1; 3.46133e-1
1.73370e+1; 3.26401e-1
1.75339e+1; 3.05681e-1
1.77308e+1; 2.87919e-1
1.79646e+1; 2.72128e-1
1.80385e+1; 2.63249e-1
1.81615e+1; 2.55353e-1
1.84077e+1; 2.32658e-1
1.85553e+1; 2.18844e-1
1.87892e+1; 2.00094e-1
1.89861e+1; 1.84305e-1
1.92322e+1; 1.65555e-1
1.93060e+1; 1.60620e-1
1.94414e+1; 1.49765e-1
1.97368e+1; 1.31999e-1
1.97983e+1; 1.25092e-1
1.99214e+1; 1.18183e-1
