Er;P_100K
5.81899e+0; 3.07947e-3
5.96076e+0; 3.07228e-3
6.15570e+0; 3.06239e-3
6.33291e+0; 7.31376e-3
6.58101e+0; 1.58219e-2
6.72278e+0; 2.29153e-2
6.82911e+0; 3.14306e-2
7.02405e+0; 4.98823e-2
7.16582e+0; 7.40171e-2
7.27215e+0; 9.10531e-2
7.36076e+0; 9.38888e-2
7.50253e+0; 9.81420e-2
7.53797e+0; 1.09501e-1
7.59114e+0; 1.20859e-1
7.62707e+0; 1.34585e-1
7.65169e+0; 1.44446e-1
7.68861e+0; 1.56279e-1
7.72553e+0; 1.76987e-1
7.75014e+0; 1.96709e-1
7.76245e+0; 2.07557e-1
7.79937e+0; 2.24320e-1
7.89782e+0; 2.46012e-1
7.91013e+0; 2.56859e-1
7.97166e+0; 2.71649e-1
8.07011e+0; 2.94326e-1
8.11934e+0; 3.12075e-1
8.20549e+0; 3.29822e-1
8.25471e+0; 3.43627e-1
8.26702e+0; 3.54474e-1
8.32855e+0; 3.68278e-1
8.43931e+0; 3.89968e-1
8.47623e+0; 4.06732e-1
8.55007e+0; 4.18562e-1
8.65468e+0; 4.37295e-1
8.68544e+0; 4.49127e-1
8.73467e+0; 4.56028e-1
8.79620e+0; 4.65887e-1
8.91927e+0; 4.92508e-1
9.03003e+0; 5.11240e-1
9.20232e+0; 5.41803e-1
9.25155e+0; 5.49690e-1
9.31308e+0; 5.58563e-1
9.47307e+0; 5.84689e-1
9.57152e+0; 5.98491e-1
9.84226e+0; 6.26584e-1
9.98994e+0; 6.40383e-1
1.01130e+1; 6.53197e-1
1.02115e+1; 6.63054e-1
1.03714e+1; 6.63046e-1
1.05314e+1; 6.63038e-1
1.07037e+1; 6.62043e-1
1.08760e+1; 6.63020e-1
1.10729e+1; 6.56600e-1
1.13683e+1; 6.38340e-1
1.15406e+1; 6.26497e-1
1.17867e+1; 5.99858e-1
1.18605e+1; 5.94923e-1
1.19221e+1; 5.86044e-1
1.21128e+1; 5.60886e-1
1.22174e+1; 5.45595e-1
1.24390e+1; 5.15998e-1
1.25497e+1; 5.02186e-1
1.27405e+1; 4.73083e-1
1.28451e+1; 4.56806e-1
1.30543e+1; 4.29182e-1
1.31466e+1; 4.11919e-1
1.33373e+1; 3.83803e-1
1.33989e+1; 3.77882e-1
1.34543e+1; 3.68018e-1
1.36512e+1; 3.42367e-1
1.37435e+1; 3.31514e-1
1.39773e+1; 2.98958e-1
1.41127e+1; 2.83172e-1
1.43219e+1; 2.60479e-1
1.44203e+1; 2.49625e-1
1.47157e+1; 2.19038e-1
1.48018e+1; 2.13117e-1
1.48941e+1; 2.02264e-1
1.51341e+1; 1.84007e-1
1.52203e+1; 1.79072e-1
1.53433e+1; 1.67725e-1
1.55771e+1; 1.48975e-1
1.57679e+1; 1.32693e-1
1.60140e+1; 1.13943e-1
1.62048e+1; 9.76612e-2
1.64509e+1; 7.89110e-2
1.66355e+1; 6.11502e-2
1.68816e+1; 4.33862e-2
1.71032e+1; 3.25269e-2
1.74354e+1; 1.96895e-2
1.77185e+1; 1.37580e-2
1.79523e+1; 1.07876e-2
1.81615e+1; 6.83217e-3
1.84077e+1; 3.86111e-3
1.86292e+1; 3.84987e-3
1.88753e+1; 2.85120e-3
