Er;P_100K
1.10114e+1; 3.25004e-3
1.11714e+1; 4.22812e-3
1.13314e+1; 5.20620e-3
1.16759e+1; 8.14730e-3
1.19344e+1; 1.30652e-2
1.22790e+1; 2.48820e-2
1.25374e+1; 3.37446e-2
1.27712e+1; 4.55671e-2
1.30543e+1; 6.13318e-2
1.32635e+1; 7.41417e-2
1.35589e+1; 9.18782e-2
1.36696e+1; 9.87760e-2
1.37804e+1; 1.04688e-1
1.40142e+1; 1.24400e-1
1.41004e+1; 1.27354e-1
1.42111e+1; 1.41155e-1
1.44449e+1; 1.56922e-1
1.46295e+1; 1.75650e-1
1.48511e+1; 1.96349e-1
1.49495e+1; 2.05220e-1
1.50357e+1; 2.14091e-1
1.52449e+1; 2.33805e-1
1.53064e+1; 2.43663e-1
1.54172e+1; 2.53520e-1
1.55895e+1; 2.75207e-1
1.57494e+1; 2.95909e-1
1.59094e+1; 3.21049e-1
1.60325e+1; 3.39287e-1
1.61802e+1; 3.64921e-1
1.63032e+1; 3.85625e-1
1.64509e+1; 4.10272e-1
1.65678e+1; 4.27031e-1
1.67340e+1; 4.55623e-1
1.68816e+1; 4.75339e-1
1.70662e+1; 4.95053e-1
1.71893e+1; 5.08854e-1
1.72632e+1; 5.09836e-1
1.73001e+1; 5.16738e-1
1.74724e+1; 5.26591e-1
1.75831e+1; 5.36447e-1
1.76816e+1; 5.32498e-1
1.78293e+1; 5.39393e-1
1.79892e+1; 5.47275e-1
1.81123e+1; 5.44310e-1
1.83461e+1; 5.40353e-1
1.85307e+1; 5.35413e-1
1.87030e+1; 5.29980e-1
1.89861e+1; 5.18625e-1
1.90722e+1; 5.11717e-1
1.92076e+1; 5.06779e-1
1.94537e+1; 4.90988e-1
1.96260e+1; 4.75200e-1
1.98598e+1; 4.55464e-1
1.99952e+1; 4.42637e-1
