Er;P_100K
1.20253e+0; 1.00095e+0
1.38861e+0; 1.00094e+0
1.54810e+0; 1.00093e+0
1.77848e+0; 1.00092e+0
2.00886e+0; 1.00091e+0
2.22447e+0; 1.00074e+0
2.45830e+0; 1.00073e+0
2.69212e+0; 9.99727e-1
2.83980e+0; 9.96761e-1
2.99979e+0; 9.90836e-1
3.11055e+0; 9.85899e-1
3.22131e+0; 9.88852e-1
3.29515e+0; 9.78987e-1
3.35668e+0; 9.67149e-1
3.40591e+0; 9.58271e-1
3.47975e+0; 9.65170e-1
3.52897e+0; 9.72071e-1
3.61512e+0; 9.65164e-1
3.68896e+0; 9.70091e-1
3.83664e+0; 9.69097e-1
3.92278e+0; 9.61203e-1
4.00893e+0; 9.53309e-1
4.09508e+0; 9.45415e-1
4.16892e+0; 9.38508e-1
4.21814e+0; 9.30616e-1
4.25506e+0; 9.19766e-1
4.29198e+0; 9.07930e-1
4.35352e+0; 8.97079e-1
4.47658e+0; 8.97073e-1
4.53812e+0; 8.86221e-1
4.64887e+0; 8.76354e-1
4.74733e+0; 8.66487e-1
4.89501e+0; 8.61548e-1
4.95039e+0; 8.48725e-1
5.01192e+0; 8.38860e-1
5.10422e+0; 8.28007e-1
5.17806e+0; 8.17155e-1
5.26421e+0; 8.06303e-1
5.31343e+0; 7.99397e-1
5.36266e+0; 7.89533e-1
5.44880e+0; 7.85583e-1
5.51034e+0; 7.74732e-1
5.54726e+0; 7.60924e-1
5.59648e+0; 7.52045e-1
5.64571e+0; 7.45140e-1
5.75647e+0; 7.29355e-1
5.80570e+0; 7.16532e-1
5.85492e+0; 7.06667e-1
5.92876e+0; 6.92857e-1
5.96568e+0; 6.80035e-1
6.00260e+0; 6.67212e-1
6.01491e+0; 6.58336e-1
6.05183e+0; 6.43541e-1
6.08875e+0; 6.30719e-1
6.11336e+0; 6.18883e-1
6.13797e+0; 6.07541e-1
6.21181e+0; 5.95209e-1
6.26104e+0; 5.82386e-1
6.28565e+0; 5.69072e-1
6.32257e+0; 5.55756e-1
6.35949e+0; 5.44906e-1
6.39641e+0; 5.32084e-1
6.42103e+0; 5.18276e-1
6.45179e+0; 5.02495e-1
6.50102e+0; 4.83262e-1
6.53794e+0; 4.66002e-1
6.56871e+0; 4.55152e-1
6.60563e+0; 4.45288e-1
6.64255e+0; 4.33452e-1
6.67947e+0; 4.19643e-1
6.70408e+0; 4.09780e-1
6.75331e+0; 3.96957e-1
6.79638e+0; 3.84628e-1
6.82714e+0; 3.68354e-1
6.86406e+0; 3.56518e-1
6.91329e+0; 3.48626e-1
7.02405e+0; 3.39744e-1
7.03636e+0; 3.26923e-1
7.09789e+0; 3.20017e-1
7.14712e+0; 3.11138e-1
7.18404e+0; 3.05219e-1
7.23326e+0; 2.92396e-1
7.23326e+0; 2.79576e-1
7.25788e+0; 2.68726e-1
7.30710e+0; 2.53931e-1
7.33172e+0; 2.42095e-1
7.35633e+0; 2.30753e-1
7.38094e+0; 2.17438e-1
7.39940e+0; 2.05603e-1
7.41786e+0; 1.92781e-1
7.44248e+0; 1.79960e-1
7.45478e+0; 1.68125e-1
7.47940e+0; 1.55303e-1
7.49170e+0; 1.42482e-1
7.49170e+0; 1.29661e-1
7.50401e+0; 1.17826e-1
7.52862e+0; 1.04018e-1
7.54093e+0; 9.02111e-2
7.54093e+0; 7.64044e-2
7.57785e+0; 6.85129e-2
7.63938e+0; 5.56893e-2
7.70091e+0; 4.38519e-2
7.73783e+0; 3.10295e-2
7.84859e+0; 2.31343e-2
7.99627e+0; 1.42511e-2
8.18087e+0; 8.81767e-3
8.42700e+0; 5.35351e-3
8.72236e+0; 1.39375e-3
8.93158e+0; 3.96949e-4
9.10387e+0; -5.97983e-4
9.38692e+0; -6.12339e-4
9.52229e+0; -1.60540e-3
