cosTh;P
-6.05351e-1; 1.01144e-1
-5.58528e-1; 1.22070e-1
-5.13935e-1; 1.44230e-1
-4.78261e-1; 1.65164e-1
-4.33668e-1; 1.94720e-1
-3.84615e-1; 2.32903e-1
-3.48941e-1; 2.68628e-1
-3.13266e-1; 3.05586e-1
-2.77592e-1; 3.47475e-1
-2.44147e-1; 3.95528e-1
-2.41918e-1; 3.96759e-1
-2.12932e-1; 4.47281e-1
-1.88406e-1; 4.87944e-1
-1.63880e-1; 5.37235e-1
-1.39353e-1; 5.86527e-1
-1.10368e-1; 6.53073e-1
-8.80713e-2; 7.09762e-1
-7.02341e-2; 7.63988e-1
-5.46265e-2; 8.10819e-1
-3.45596e-2; 8.65044e-1
-1.89521e-2; 9.14341e-1
-3.34448e-3; 9.53777e-1
1.67224e-2; 9.78418e-1
5.23969e-2; 9.93188e-1
9.25307e-2; 9.94396e-1
1.90635e-1; 9.98034e-1
2.93200e-1; 1.00044e+0
4.53735e-1; 9.97871e-1
6.14270e-1; 9.99005e-1
7.52508e-1; 1.00015e+0
8.99666e-1; 9.98829e-1
1.00669e+0; 9.99996e-1
