cosTh;P
-9.95541e-1; 9.66715e-1
-9.04125e-1; 9.69124e-1
-8.08250e-1; 9.72763e-1
-7.07915e-1; 9.75167e-1
-6.07581e-1; 9.78803e-1
-5.07246e-1; 9.82439e-1
-4.06912e-1; 9.84842e-1
-3.06577e-1; 9.88479e-1
-2.06243e-1; 9.92115e-1
-1.05909e-1; 9.95751e-1
-1.11483e-3; 9.98152e-1
1.28205e-1; 1.00054e+0
2.84281e-1; 9.99208e-1
4.53735e-1; 9.99104e-1
5.87514e-1; 1.00025e+0
7.61427e-1; 9.98914e-1
9.93311e-1; 9.98771e-1
