cosTh;P
-9.95541e-1; 7.00460e-1
-9.19732e-1; 7.18903e-1
-8.39465e-1; 7.39809e-1
-7.68116e-1; 7.59487e-1
-6.96767e-1; 7.79166e-1
-6.29877e-1; 7.98847e-1
-5.58528e-1; 8.18526e-1
-4.87179e-1; 8.40670e-1
-4.11371e-1; 8.62811e-1
-3.40022e-1; 8.84955e-1
-2.64214e-1; 9.09562e-1
-1.79487e-1; 9.36628e-1
-1.17057e-1; 9.58778e-1
-5.90858e-2; 9.78465e-1
-1.00334e-2; 9.93227e-1
2.56410e-2; 9.98135e-1
7.46934e-2; 9.99338e-1
1.86176e-1; 9.99269e-1
2.75362e-1; 9.99214e-1
4.31438e-1; 9.99118e-1
6.49944e-1; 9.98983e-1
8.28317e-1; 9.98873e-1
9.95541e-1; 1.00000e+0
