cosTh;P
-1.00000e+0; 1.82743e-1
-9.06355e-1; 2.12269e-1
-8.12709e-1; 2.49191e-1
-7.32441e-1; 2.84889e-1
-6.61093e-1; 3.23058e-1
-6.03122e-1; 3.55071e-1
-5.40691e-1; 3.96943e-1
-4.91639e-1; 4.31428e-1
-4.42586e-1; 4.68378e-1
-3.97993e-1; 5.06563e-1
-3.44482e-1; 5.52138e-1
-2.99889e-1; 5.96487e-1
-2.59755e-1; 6.40838e-1
-2.24080e-1; 6.79029e-1
-1.75028e-1; 7.41864e-1
-1.30435e-1; 7.96074e-1
-9.92196e-2; 8.40431e-1
-7.24638e-2; 8.79860e-1
-4.12486e-2; 9.24216e-1
-1.44928e-2; 9.63645e-1
1.22631e-2; 9.88282e-1
7.02341e-2; 9.95642e-1
1.59420e-1; 9.98053e-1
2.97659e-1; 9.97968e-1
4.40357e-1; 9.97880e-1
6.81159e-1; 9.97731e-1
9.97770e-1; 9.98769e-1
