cosTh;P
-9.95541e-1; 9.26037e-1
-9.08584e-1; 9.32147e-1
-8.08250e-1; 9.39481e-1
-7.10145e-1; 9.46817e-1
-6.09810e-1; 9.54151e-1
-5.09476e-1; 9.61485e-1
-4.09142e-1; 9.68819e-1
-3.11037e-1; 9.76155e-1
-2.10702e-1; 9.83489e-1
-1.12598e-1; 9.90824e-1
-1.00334e-2; 9.95692e-1
1.32664e-1; 9.99302e-1
2.44147e-1; 9.99233e-1
4.09142e-1; 9.99131e-1
5.56299e-1; 1.00027e+0
7.61427e-1; 1.00015e+0
9.97770e-1; 9.98769e-1
