dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
1.8385705513440628e-31,3185936.5538031906,0.0,0.01,5e-09
5.353342706600667e-32,4572034.096895864,0.0,0.01,5e-09
1.5733157585155469e-32,6561177.67261403,0.0,0.01,5e-09
1.1156327520145835e-11,0.13497,0.2,0.01,5e-09
6.742500664854105e-12,0.19369106435010147,0.2,0.01,5e-09
4.2558633237298075e-12,0.2779597570502715,0.2,0.01,5e-09
2.6288898616706315e-12,0.3988910216311973,0.2,0.01,5e-09
1.5397030581828068e-12,0.5724355526372227,0.2,0.01,5e-09
8.264978158012894e-13,0.8214836738693203,0.2,0.01,5e-09
4.005340556600075e-13,1.1788845457359436,0.2,0.01,5e-09
1.8875293234221183e-13,1.6917789316846765,0.2,0.01,5e-09
8.373291349863997e-14,2.4278170106177854,0.2,0.01,5e-09
3.3197663440832625e-14,3.484081357589393,0.2,0.01,5e-09
1.257598974503127e-14,4.999892023663302,0.2,0.01,5e-09
4.910432291880616e-15,7.175182690219515,0.2,0.01,5e-09
1.956307585769275e-15,10.29687169130208,0.2,0.01,5e-09
7.796449231645434e-16,14.776706211489447,0.2,0.01,5e-09
3.0949728117992154e-16,21.20557126540821,0.2,0.01,5e-09
1.2082205529586207e-16,30.43142675075086,0.2,0.01,5e-09
4.6232475663396793e-17,43.671152382344836,0.2,0.01,5e-09
1.745515317001768e-17,62.671052725285904,0.2,0.01,5e-09
6.548262364269776e-18,89.9371927561825,0.2,0.01,5e-09
2.465059494038295e-18,129.06594494780484,0.2,0.01,5e-09
9.296706198184766e-19,185.218346656975,0.2,0.01,5e-09
3.5405373891741804e-19,265.80083500893215,0.2,0.01,5e-09
1.3391360762043056e-19,381.44214742554476,0.2,0.01,5e-09
5.1114883046884174e-20,547.3952398521305,0.2,0.01,5e-09
1.940977087062734e-20,785.5491340826719,0.2,0.01,5e-09
7.416448919154314e-21,1127.3160545289566,0.2,0.01,5e-09
2.8091987728189454e-21,1617.7746644489202,0.2,0.01,5e-09
1.071594565863731e-21,2321.61588972171,0.2,0.01,5e-09
4.0530272991079717e-22,3331.6755774787453,0.2,0.01,5e-09
1.537428250433013e-22,4781.179437438663,0.2,0.01,5e-09
5.771287588191829e-23,6861.31535960817,0.2,0.01,5e-09
2.1733313047361026e-23,9846.450876818582,0.2,0.01,5e-09
8.102140369231037e-24,14130.321926368679,0.2,0.01,5e-09
3.007774496574174e-24,20277.96616676245,0.2,0.01,5e-09
1.1007828930368027e-24,29100.250794217685,0.2,0.01,5e-09
4.0200683510312545e-25,41760.82499212353,0.2,0.01,5e-09
1.4428294262021507e-25,59929.60391837234,0.2,0.01,5e-09
5.0959312895715926e-26,86003.02859175787,0.2,0.01,5e-09
1.7634831527673617e-26,123420.15370282115,0.2,0.01,5e-09
6.020847916424e-27,177116.25496741914,0.2,0.01,5e-09
1.9992901803138155e-27,254173.78631061214,0.2,0.01,5e-09
6.426975554573005e-28,364756.5473838464,0.2,0.01,5e-09
2.0011717541376963e-28,523450.2770352337,0.2,0.01,5e-09
6.079693784514614e-29,751186.4954679541,0.2,0.01,5e-09
1.7908647590558086e-29,1078003.347652151,0.2,0.01,5e-09
5.139179361953148e-30,1547007.6000571782,0.2,0.01,5e-09
1.457270074784231e-30,2220060.3735109367,0.2,0.01,5e-09
4.163741221808812e-31,3185936.5538031906,0.2,0.01,5e-09
1.211070986138373e-31,4572034.096895864,0.2,0.01,5e-09
3.5555859715426324e-32,6561177.67261403,0.2,0.01,5e-09
1.3997976804482545e-11,0.13497,0.4,0.01,5e-09
8.45860153094604e-12,0.19369106435010147,0.4,0.01,5e-09
5.337878039697942e-12,0.2779597570502715,0.4,0.01,5e-09
3.2961147950782892e-12,0.3988910216311973,0.4,0.01,5e-09
1.9293803012018484e-12,0.5724355526372227,0.4,0.01,5e-09
1.0346650114969995e-12,0.8214836738693203,0.4,0.01,5e-09
5.006967741049733e-13,1.1788845457359436,0.4,0.01,5e-09
2.357288313630316e-13,1.6917789316846765,0.4,0.01,5e-09
1.0453872974263806e-13,2.4278170106177854,0.4,0.01,5e-09
4.144771850116866e-14,3.484081357589393,0.4,0.01,5e-09
1.5714311104105485e-14,4.999892023663302,0.4,0.01,5e-09
6.143436559663218e-15,7.175182690219515,0.4,0.01,5e-09
2.4502301873531318e-15,10.29687169130208,0.4,0.01,5e-09
9.773378201964925e-16,14.776706211489447,0.4,0.01,5e-09
3.881967346635446e-16,21.20557126540821,0.4,0.01,5e-09
1.516221973475841e-16,30.43142675075086,0.4,0.01,5e-09
5.802551790730484e-17,43.671152382344836,0.4,0.01,5e-09
2.190677889503666e-17,62.671052725285904,0.4,0.01,5e-09
8.216434613682075e-18,89.9371927561825,0.4,0.01,5e-09
3.0917593152666788e-18,129.06594494780484,0.4,0.01,5e-09
1.1651178920106994e-18,185.218346656975,0.4,0.01,5e-09
4.422979529818457e-19,265.80083500893215,0.4,0.01,5e-09
1.6706489472645026e-19,381.44214742554476,0.4,0.01,5e-09
6.368084815985522e-20,547.3952398521305,0.4,0.01,5e-09
2.41738527463947e-20,785.5491340826719,0.4,0.01,5e-09
9.222469679749836e-21,1127.3160545289566,0.4,0.01,5e-09
3.487710443698155e-21,1617.7746644489202,0.4,0.01,5e-09
1.3283462650081403e-21,2321.61588972171,0.4,0.01,5e-09
5.016017022534443e-22,3331.6755774787453,0.4,0.01,5e-09
1.8996491840085586e-22,4781.179437438663,0.4,0.01,5e-09
7.119236936517536e-23,6861.31535960817,0.4,0.01,5e-09
2.67671462682062e-23,9846.450876818582,0.4,0.01,5e-09
9.962338943010492e-24,14130.321926368679,0.4,0.01,5e-09
3.692320562407811e-24,20277.96616676245,0.4,0.01,5e-09
1.3492107291946169e-24,29100.250794217685,0.4,0.01,5e-09
4.919843192873697e-25,41760.82499212353,0.4,0.01,5e-09
1.761049904178162e-25,59929.60391837234,0.4,0.01,5e-09
6.212227384967082e-26,86003.02859175787,0.4,0.01,5e-09
2.146786370145948e-26,123420.15370282115,0.4,0.01,5e-09
7.319162953198381e-27,177116.25496741914,0.4,0.01,5e-09
2.4279360616749105e-27,254173.78631061214,0.4,0.01,5e-09
7.8037553034960005e-28,364756.5473838464,0.4,0.01,5e-09
2.4271834553081776e-28,523450.2770352337,0.4,0.01,5e-09
7.366400730527013e-29,751186.4954679541,0.4,0.01,5e-09
2.1676453734024245e-29,1078003.347652151,0.4,0.01,5e-09
6.2149388409701044e-30,1547007.6000571782,0.4,0.01,5e-09
1.760747657611479e-30,2220060.3735109367,0.4,0.01,5e-09
5.026542776640871e-31,3185936.5538031906,0.4,0.01,5e-09
1.4608223138097356e-31,4572034.096895864,0.4,0.01,5e-09
4.2854186164769654e-32,6561177.67261403,0.4,0.01,5e-09
1.6292769089363655e-11,0.13497,0.6,0.01,5e-09
9.843799077787521e-12,0.19369106435010147,0.6,0.01,5e-09
6.2106576865921135e-12,0.2779597570502715,0.6,0.01,5e-09
3.833736429894427e-12,0.3988910216311973,0.6,0.01,5e-09
2.2428082656587774e-12,0.5724355526372227,0.6,0.01,5e-09
1.2015875158775122e-12,0.8214836738693203,0.6,0.01,5e-09
5.806468251240106e-13,1.1788845457359436,0.6,0.01,5e-09
2.731069878881449e-13,1.6917789316846765,0.6,0.01,5e-09
1.2107493596825783e-13,2.4278170106177854,0.6,0.01,5e-09
4.800246754646209e-14,3.484081357589393,0.6,0.01,5e-09
1.8213344275476602e-14,4.999892023663302,0.6,0.01,5e-09
7.128341819281027e-15,7.175182690219515,0.6,0.01,5e-09
2.845721241916596e-15,10.29687169130208,0.6,0.01,5e-09
1.13581962002825e-15,14.776706211489447,0.6,0.01,5e-09
4.512567493160245e-16,21.20557126540821,0.6,0.01,5e-09
1.762040166884818e-16,30.43142675075086,0.6,0.01,5e-09
6.741741394921009e-17,43.671152382344836,0.6,0.01,5e-09
2.5445265198298528e-17,62.671052725285904,0.6,0.01,5e-09
9.538304271231345e-18,89.9371927561825,0.6,0.01,5e-09
3.586709489943573e-18,129.06594494780484,0.6,0.01,5e-09
1.3504407291765056e-18,185.218346656975,0.6,0.01,5e-09
5.124557819937413e-19,265.80083500893215,0.6,0.01,5e-09
1.9338581638680505e-19,381.44214742554476,0.6,0.01,5e-09
7.360025277262876e-20,547.3952398521305,0.6,0.01,5e-09
2.78669203493256e-20,785.5491340826719,0.6,0.01,5e-09
1.0616120368330792e-20,1127.3160545289566,0.6,0.01,5e-09
4.009923388156461e-21,1617.7746644489202,0.6,0.01,5e-09
1.5248532756225014e-21,2321.61588972171,0.6,0.01,5e-09
5.749811613907689e-22,3331.6755774787453,0.6,0.01,5e-09
2.1744137856849626e-22,4781.179437438663,0.6,0.01,5e-09
8.137885040102444e-23,6861.31535960817,0.6,0.01,5e-09
3.0549558043805323e-23,9846.450876818582,0.6,0.01,5e-09
1.1353444269984196e-23,14130.321926368679,0.6,0.01,5e-09
