dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
6.283829918724955e-20,88.56162809196152,0.8,0.01,5e-09
2.520084690999082e-20,124.85471020243885,0.8,0.01,5e-09
1.005787170365549e-20,176.02091329608157,0.8,0.01,5e-09
4.012233306279044e-21,248.15533084294873,0.8,0.01,5e-09
1.5862035571772335e-21,349.8508618813319,0.8,0.01,5e-09
6.417548466889554e-22,493.22182660090334,0.8,0.01,5e-09
2.607255706303728e-22,695.3470656820822,0.8,0.01,5e-09
1.0477508260977406e-22,980.3044303307337,0.8,0.01,5e-09
4.181341977915297e-23,1382.039018433766,0.8,0.01,5e-09
1.6592127074600345e-23,1948.4068309565441,0.8,0.01,5e-09
6.652347585497386e-24,2746.8755427906613,0.8,0.01,5e-09
2.6848536584789057e-24,3872.561483413205,0.8,0.01,5e-09
1.0671311722930158e-24,5459.56022003811,0.8,0.01,5e-09
4.160473708771069e-25,7696.920481156926,0.8,0.01,5e-09
1.6161432859629343e-25,10851.16428898726,0.8,0.01,5e-09
6.351126649008669e-26,15298.035976187428,0.8,0.01,5e-09
2.4827285411496575e-26,21567.26213851904,0.8,0.01,5e-09
9.5841312514289e-27,30405.654482420672,0.8,0.01,5e-09
3.604912330981202e-27,42866.07259496282,0.8,0.01,5e-09
1.3395160301430093e-27,60432.84418623487,0.8,0.01,5e-09
4.923204144330517e-28,85198.58329328035,0.8,0.01,5e-09
1.790663079385584e-28,120113.46963602628,0.8,0.01,5e-09
6.395305525697188e-29,169336.68413641874,0.8,0.01,5e-09
2.1648965125232009e-29,238731.8648042508,0.8,0.01,5e-09
7.366574478155116e-30,336565.60339283146,0.8,0.01,5e-09
2.397520308685044e-30,474492.1901400215,0.8,0.01,5e-09
7.747756422183952e-31,668941.9127631214,0.8,0.01,5e-09
2.452305813310735e-31,943078.2886418686,0.8,0.01,5e-09
7.26898837548641e-32,1329557.382395053,0.8,0.01,5e-09
2.2293371851065233e-32,1874417.9082172392,0.8,0.01,5e-09
6.625439797411278e-33,2642565.5192981586,0.8,0.01,5e-09
2.0973699097039305e-33,3725504.5916762734,0.8,0.01,5e-09
6.6814808548825276e-34,5252238.53911756,0.8,0.01,5e-09
2.130808704328822e-34,7404637.141885661,0.8,0.01,5e-09
6.825933620453309e-35,10439101.498273656,0.8,0.01,5e-09
2.2025104159575267e-35,14717107.402174173,0.8,0.01,5e-09
7.705291185911315e-36,20748265.57850291,0.8,0.01,5e-09
3.4038805764258493e-16,1.019,1.0,0.01,5e-09
3.112149229546511e-16,1.4365922627819576,1.0,0.01,5e-09
2.561042927887972e-16,2.0253163194160795,1.0,0.01,5e-09
1.7621259908179942e-16,2.8553029972121413,1.0,0.01,5e-09
9.937090332112019e-17,4.025423153771439,1.0,0.01,5e-09
5.0644953751462324e-17,5.675065512395874,1.0,0.01,5e-09
2.6845751823060016e-17,8.000741124522708,1.0,0.01,5e-09
1.409719767808293e-17,11.279492439657256,1.0,0.01,5e-09
6.234543446415272e-18,15.90189555144181,1.0,0.01,5e-09
2.6188484496405097e-18,22.418586960518287,1.0,0.01,5e-09
1.0813915625379391e-18,31.605857281634012,1.0,0.01,5e-09
4.409904990031437e-19,44.55812564218471,1.0,0.01,5e-09
1.7614916174555616e-19,62.81831063947881,1.0,0.01,5e-09
7.111297928431474e-20,88.56162809196152,1.0,0.01,5e-09
2.8546597801367356e-20,124.85471020243885,1.0,0.01,5e-09
1.1391393975559401e-20,176.02091329608157,1.0,0.01,5e-09
4.533582975488173e-21,248.15533084294873,1.0,0.01,5e-09
1.7908992669847314e-21,349.8508618813319,1.0,0.01,5e-09
7.238575375723229e-22,493.22182660090334,1.0,0.01,5e-09
2.93732265528919e-22,695.3470656820822,1.0,0.01,5e-09
