dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
3.869702264438478e-19,51.13853363473202,0.4,0.01,5e-09
1.4510913583756826e-19,72.4973529719249,0.4,0.01,5e-09
5.636898338372179e-20,102.77702183400542,0.4,0.01,5e-09
2.2666433707668088e-20,145.70347445869163,0.4,0.01,5e-09
9.089621504015627e-21,206.55884059009097,0.4,0.01,5e-09
3.724420665656089e-21,292.8314152043025,0.4,0.01,5e-09
1.5061149219698025e-21,415.1370983957204,0.4,0.01,5e-09
5.9935730131892465e-22,588.5256892406197,0.4,0.01,5e-09
2.3902668145788783e-22,834.3327740032128,0.4,0.01,5e-09
9.560525314091773e-23,1182.8050848113287,0.4,0.01,5e-09
3.849518036853666e-23,1676.8223810061515,0.4,0.01,5e-09
1.527177658524837e-23,2377.173833245434,0.4,0.01,5e-09
5.978159691240656e-24,3370.038173080696,0.4,0.01,5e-09
2.3374152972167035e-24,4777.588045597714,0.4,0.01,5e-09
9.218357732059929e-25,6773.023438061691,0.4,0.01,5e-09
3.6208284157226998e-25,9601.884058380307,0.4,0.01,5e-09
1.3898711953946646e-25,13612.263166324245,0.4,0.01,5e-09
5.29187827061371e-26,19297.640690375494,0.4,0.01,5e-09
1.9995357359553327e-26,27357.60627491569,0.4,0.01,5e-09
7.588982386216781e-27,38783.94427079287,0.4,0.01,5e-09
2.838593810563985e-27,54982.673487013606,0.4,0.01,5e-09
1.023502417488008e-27,77947.05877958263,0.4,0.01,5e-09
3.656380156392629e-28,110502.88367339497,0.4,0.01,5e-09
1.2916060925969705e-28,156656.1649832815,0.4,0.01,5e-09
4.476646559171593e-29,222086.0959593013,0.4,0.01,5e-09
1.4984928909577353e-29,314843.874951923,0.4,0.01,5e-09
4.8210710878446e-30,446343.4109486418,0.4,0.01,5e-09
1.5352361036263691e-30,632765.8129848948,0.4,0.01,5e-09
4.77384845488792e-31,897050.4868246074,0.4,0.01,5e-09
1.4616688254726327e-31,1271717.8447367798,0.4,0.01,5e-09
4.28501438917755e-32,1802870.964762285,0.4,0.01,5e-09
1.2792769210535117e-32,2555868.6064168955,0.4,0.01,5e-09
3.837934388612101e-33,3623367.6513442476,0.4,0.01,5e-09
1.1908272943648145e-33,5136724.596814592,0.4,0.01,5e-09
3.729263677575731e-34,7282159.063745853,0.4,0.01,5e-09
1.161615981905146e-34,10323668.250110406,0.4,0.01,5e-09
3.750536951175819e-35,14635511.969099307,0.4,0.01,5e-09
1.2630966437084972e-35,20748265.57850291,0.4,0.01,5e-09
1.855486880197358e-14,0.7759999999999999,0.6,0.01,5e-09
1.0425991420800399e-14,1.100108702921523,0.6,0.01,5e-09
5.708427981640183e-15,1.5595865441284484,0.6,0.01,5e-09
2.9544746012998913e-15,2.2109725904059383,0.6,0.01,5e-09
1.3435375023172994e-15,3.1344203461681928,0.6,0.01,5e-09
5.285941340066284e-16,4.443560697724126,0.6,0.01,5e-09
1.9715092140962055e-16,6.299484272585499,0.6,0.01,5e-09
7.525515599919465e-17,8.930563752820321,0.6,0.01,5e-09
2.834275279155047e-17,12.660555291846817,0.6,0.01,5e-09
1.0355540178493427e-17,17.948436933479158,0.6,0.01,5e-09
3.6708652638728384e-18,25.444886178297057,0.6,0.01,5e-09
1.2796274493364713e-18,36.07234630102085,0.6,0.01,5e-09
4.568472109839215e-19,51.13853363473202,0.6,0.01,5e-09
1.71928430735963e-19,72.4973529719249,0.6,0.01,5e-09
6.694959696795283e-20,102.77702183400542,0.6,0.01,5e-09
2.6933449437146593e-20,145.70347445869163,0.6,0.01,5e-09
1.0784683958134884e-20,206.55884059009097,0.6,0.01,5e-09
4.40738904258498e-21,292.8314152043025,0.6,0.01,5e-09
1.7776489816179643e-21,415.1370983957204,0.6,0.01,5e-09
7.052650161749528e-22,588.5256892406197,0.6,0.01,5e-09
2.806453487141722e-22,834.3327740032128,0.6,0.01,5e-09
1.119185266356027e-22,1182.8050848113287,0.6,0.01,5e-09
