eps2,mass,e,flux
5e-09,0.02,15.260921169665588,2.5693541702052394e-15
5e-09,0.02,18.30440005648556,1.6681613873627392e-15
5e-09,0.02,21.954838617072213,9.665046678949483e-16
5e-09,0.02,26.333282555791758,6.287288442205922e-16
5e-09,0.02,31.584917669307885,3.5662311062586903e-16
5e-09,0.02,37.883884094713515,2.2839014679359155e-16
5e-09,0.02,45.43905066107897,1.2847734376350577e-16
5e-09,0.02,54.5009408174232,8.047207612096215e-17
5e-09,0.02,65.37003979549537,4.573151265686792e-17
5e-09,0.02,78.40675846642554,2.9034749203195594e-17
5e-09,0.02,94.04338428498275,1.594622011873225e-17
5e-09,0.02,112.79841560546205,9.843663573007227e-18
5e-09,0.02,135.29375468396742,5.435084038438705e-18
5e-09,0.02,162.27532947368118,3.2734666337410517e-18
5e-09,0.02,194.63782801581382,1.7832304896703206e-18
5e-09,0.02,233.45436559941044,1.0638647436023647e-18
5e-09,0.02,280.0120684299615,5.540842073997776e-19
5e-09,0.02,335.85475373360737,3.087753298801944e-19
5e-09,0.02,402.8341215360003,1.561208137675882e-19
5e-09,0.02,483.1711555954168,8.263361988968119e-20
5e-09,0.02,579.5297694973116,3.935041950578048e-20
5e-09,0.02,695.1051399575583,1.949009759446929e-20
5e-09,0.02,833.7296563980192,8.28429278501855e-21
5e-09,0.02,1000.0,3.522321022338158e-21
5e-09,0.025,0.13497,1.2338725037724003e-11
5e-09,0.025,0.16188700853357427,1.0107676432913433e-11
5e-09,0.025,0.19417206439912238,7.46504295386324e-12
5e-09,0.025,0.23289571494674718,6.286418052066654e-12
5e-09,0.025,0.27934200632004846,4.897543317999294e-12
5e-09,0.025,0.33505106142786867,4.094914648140288e-12
5e-09,0.025,0.401870149222468,3.155162642240231e-12
5e-09,0.025,0.4820149387016851,2.58181203769206e-12
5e-09,0.025,0.578142968770171,3.402650244884156e-12
5e-09,0.025,0.6934417701631669,2.657623409364054e-12
5e-09,0.025,0.8317345614873042,2.005465360286793e-12
5e-09,0.025,0.9976070241769568,1.5181675676477901e-12
5e-09,0.025,1.1965593601251292,1.0362901744492402e-12
5e-09,0.025,1.4351886741016888,7.754639182664142e-13
5e-09,0.025,1.721407728618132,5.143464704454637e-13
5e-09,0.025,2.064707324980101,3.700715985123742e-13
5e-09,0.025,2.4764710108793575,2.3569993038144936e-13
5e-09,0.025,2.9703525499842622,1.5988234541802683e-13
5e-09,0.025,3.56272867012689,9.347025602386766e-14
5e-09,0.025,4.273242102864648,6.192962990177475e-14
5e-09,0.025,5.125452921186028,3.5093382081935046e-14
5e-09,0.025,6.147619773212385,2.3067966289336197e-14
5e-09,0.025,7.373636916997876,1.3415469784323367e-14
5e-09,0.025,8.844158127772937,8.879995176380575e-15
5e-09,0.025,10.607944745521664,5.1562538503068056e-15
5e-09,0.025,12.723482563102534,3.3613969047489505e-15
5e-09,0.025,15.260921169665588,1.9631440937414054e-15
5e-09,0.025,18.30440005648556,1.2594795820327417e-15
5e-09,0.025,21.954838617072213,7.345442153891618e-16
5e-09,0.025,26.333282555791758,4.725506348475598e-16
5e-09,0.025,31.584917669307885,2.6953325733653147e-16
5e-09,0.025,37.883884094713515,1.7071455321302809e-16
5e-09,0.025,45.43905066107897,9.674417639389132e-17
5e-09,0.025,54.5009408174232,5.978955384262822e-17
5e-09,0.025,65.37003979549537,3.434402934849744e-17
5e-09,0.025,78.40675846642554,2.1676953063560738e-17
5e-09,0.025,94.04338428498275,1.2026171575604265e-17
5e-09,0.025,112.79841560546205,7.355995381564551e-18
5e-09,0.025,135.29375468396742,4.100034390228234e-18
5e-09,0.025,162.27532947368118,2.4397983579447507e-18
5e-09,0.025,194.63782801581382,1.3425251301989414e-18
5e-09,0.025,233.45436559941044,7.947081518258585e-19
5e-09,0.025,280.0120684299615,4.1684788933562285e-19
5e-09,0.025,335.85475373360737,2.3073564119359635e-19
5e-09,0.025,402.8341215360003,1.1807408994029687e-19
5e-09,0.025,483.1711555954168,6.201121159147844e-20
5e-09,0.025,579.5297694973116,2.985222532913675e-20
5e-09,0.025,695.1051399575583,1.4689270384701308e-20
5e-09,0.025,833.7296563980192,6.276698042522465e-21
5e-09,0.025,1000.0,2.6236650804625215e-21
5e-09,0.03,0.13497,7.2093313988636545e-12
5e-09,0.03,0.16188700853357427,5.861139861849406e-12
5e-09,0.03,0.19417206439912238,4.265025060854359e-12
5e-09,0.03,0.23289571494674718,3.60154438113344e-12
5e-09,0.03,0.27934200632004846,2.8200635664239615e-12
5e-09,0.03,0.33505106142786867,2.381181865196205e-12
5e-09,0.03,0.401870149222468,1.866823356768456e-12
5e-09,0.03,0.4820149387016851,1.5405810914672601e-12
5e-09,0.03,0.578142968770171,2.4736557614242986e-12
5e-09,0.03,0.6934417701631669,1.932153257526821e-12
5e-09,0.03,0.8317345614873042,1.5024570490614107e-12
5e-09,0.03,0.9976070241769568,1.138446587578616e-12
5e-09,0.03,1.1965593601251292,7.884395435214894e-13
5e-09,0.03,1.4351886741016888,5.907324166737372e-13
5e-09,0.03,1.721407728618132,3.969727710279129e-13
5e-09,0.03,2.064707324980101,2.850538786253112e-13
5e-09,0.03,2.4764710108793575,1.838561383458307e-13
5e-09,0.03,2.9703525499842622,1.2391993241667507e-13
5e-09,0.03,3.56272867012689,7.313938467805369e-14
5e-09,0.03,4.273242102864648,4.802073730851589e-14
5e-09,0.03,5.125452921186028,2.743145695079401e-14
5e-09,0.03,6.147619773212385,1.7825738454053833e-14
