dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
4.0209471552305473e-19,163.38612717504964,0.2,0.01,5e-09
1.5555486955086986e-19,233.27853170840072,0.2,0.01,5e-09
6.157545469927912e-20,333.0691185165537,0.2,0.01,5e-09
2.4317042624246697e-20,475.54756495151315,0.2,0.01,5e-09
9.467064259308907e-21,678.9746450782816,0.2,0.01,5e-09
3.6540561038623305e-21,969.4226248560072,0.2,0.01,5e-09
1.4309908532243338e-21,1384.116818492334,0.2,0.01,5e-09
5.632388301324677e-22,1976.2065771034552,0.2,0.01,5e-09
2.1797381162064824e-22,2821.577184244427,0.2,0.01,5e-09
8.296809627287067e-23,4028.575706046721,0.2,0.01,5e-09
3.179936817503255e-23,5751.897311182639,0.2,0.01,5e-09
1.2309813646783024e-23,8212.41180319186,0.2,0.01,5e-09
4.6746365746046935e-24,11725.471436022235,0.2,0.01,5e-09
1.736318460999561e-24,16741.328088727485,0.2,0.01,5e-09
6.405594954046395e-25,23902.839873319055,0.2,0.01,5e-09
2.401878052793567e-25,34127.86315287849,0.2,0.01,5e-09
8.764043175787754e-26,48726.889756797405,0.2,0.01,5e-09
3.087535695366364e-26,69571.00638663422,0.2,0.01,5e-09
1.0719482024230453e-26,99331.70275810415,0.2,0.01,5e-09
3.722019825239646e-27,141823.2635300776,0.2,0.01,5e-09
1.260599107291879e-27,202491.62673979037,0.2,0.01,5e-09
4.028502761574006e-28,289112.363367882,0.2,0.01,5e-09
1.2543346663651186e-28,412787.2347016762,0.2,0.01,5e-09
3.903305783217378e-29,589367.051438887,0.2,0.01,5e-09
1.1891732987616141e-29,841483.1955082207,0.2,0.01,5e-09
3.437990447596632e-30,1201448.1749428932,0.2,0.01,5e-09
9.888063586623722e-31,1715396.9619105805,0.2,0.01,5e-09
2.932853587116229e-31,2449199.8891853336,0.2,0.01,5e-09
8.816333073944386e-32,3496904.932432852,0.2,0.01,5e-09
2.639780945189467e-32,4992791.384839018,0.2,0.01,5e-09
7.998499708050742e-33,7128579.785318896,0.2,0.01,5e-09
2.499029940539934e-33,10178003.813651342,0.2,0.01,5e-09
8.304072663745337e-34,14531893.413614519,0.2,0.01,5e-09
2.822918911273292e-34,20748265.57850291,0.2,0.01,5e-09
7.189406143448307e-13,0.54785,0.4,0.01,5e-09
4.0080464341477943e-13,0.7822062117888534,0.4,0.01,5e-09
2.2497711072773142e-13,1.1168140143489433,0.4,0.01,5e-09
1.1696645420489636e-13,1.59455847300646,0.4,0.01,5e-09
5.420316593525421e-14,2.2766697867047583,0.4,0.01,5e-09
2.209630346325016e-14,3.2505708667563495,0.4,0.01,5e-09
8.393050520852542e-15,4.641081908983652,0.4,0.01,5e-09
