dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
8.032678513481053e-31,633926.5391923263,0.0,0.01,5e-09
2.5232737336824517e-31,898531.3208030083,0.0,0.01,5e-09
7.748825725410146e-32,1273583.7428302637,0.0,0.01,5e-09
2.2681590844685998e-32,1805185.3201421672,0.0,0.01,5e-09
6.811338962640177e-33,2558680.6194738625,0.0,0.01,5e-09
2.0526081617668574e-33,3626689.4259673855,0.0,0.01,5e-09
6.377484320289005e-34,5140491.584732545,0.0,0.01,5e-09
2.0157244748357458e-34,7286163.944313369,0.0,0.01,5e-09
6.266310796176056e-35,10327452.958212415,0.0,0.01,5e-09
2.029176482744428e-35,14638194.448991552,0.0,0.01,5e-09
6.828794078434714e-36,20748265.57850291,0.0,0.01,5e-09
1.3635072792466668e-14,0.7829999999999999,0.2,0.01,5e-09
8.90551473271135e-15,1.1098289481382733,0.2,0.01,5e-09
5.44682062120201e-15,1.57307828113117,0.2,0.01,5e-09
2.9479232470188254e-15,2.2296906948748014,0.2,0.01,5e-09
1.3700476141127012e-15,3.160377111834734,0.2,0.01,5e-09
5.443824483399949e-16,4.479537682947403,0.2,0.01,5e-09
2.0438720147448952e-16,6.34932387587647,0.2,0.01,5e-09
7.79292262280778e-17,8.999570164180339,0.2,0.01,5e-09
2.9188913181848045e-17,12.756045324404672,0.2,0.01,5e-09
1.0608091702097234e-17,18.08049599589806,0.2,0.01,5e-09
3.73177598811249e-18,25.627404665320306,0.2,0.01,5e-09
1.2877548425756943e-18,36.32443877806682,0.2,0.01,5e-09
4.535487657642066e-19,51.48647979664753,0.2,0.01,5e-09
1.6806761304958766e-19,72.97724867950929,0.2,0.01,5e-09
6.43549480220368e-20,103.43839481482117,0.2,0.01,5e-09
2.5656325900970666e-20,146.61420806442456,0.2,0.01,5e-09
1.0263625943294493e-20,207.81186758399272,0.2,0.01,5e-09
4.178838678624815e-21,294.5538012916894,0.2,0.01,5e-09
1.6784592902725598e-21,417.5023441349754,0.2,0.01,5e-09
6.634306302702192e-22,591.7703543251376,0.2,0.01,5e-09
2.6360600299583215e-22,838.7788887357357,0.2,0.01,5e-09
1.0559888770718682e-22,1188.8902832773583,0.2,0.01,5e-09
4.257165767054097e-23,1685.1402969878986,0.2,0.01,5e-09
1.6869111669658116e-23,2388.528075697953,0.2,0.01,5e-09
6.619291477779439e-24,3385.5141786086774,0.2,0.01,5e-09
2.599069736246243e-24,4798.6483266315145,0.2,0.01,5e-09
1.0267922184849418e-24,6801.63323733198,0.2,0.01,5e-09
4.046192097796887e-25,9640.676195926519,0.2,0.01,5e-09
1.5577528742154932e-25,13664.752901490194,0.2,0.01,5e-09
5.962240474380701e-26,19368.503626092315,0.2,0.01,5e-09
2.2682746336194243e-26,27453.03449087915,0.2,0.01,5e-09
8.658369578743548e-27,38912.09756349444,0.2,0.01,5e-09
3.249231389863225e-27,55154.24305076234,0.2,0.01,5e-09
