eps2,cos_theta,m(GeV),Energy,flux_differential
0.01,1.0,0.0122192246779934,0.1789647404750054,1.5202138961097563e-07
0.01,1.0,0.0122192246779934,0.2010578202894464,1.397161903276857e-07
0.01,1.0,0.0122192246779934,0.2258782763143731,1.2833985514345922e-07
0.01,1.0,0.0122192246779934,0.2537628013538671,1.1799947952202948e-07
0.01,1.0,0.0122192246779934,0.2850896527178103,1.0862155352874206e-07
0.01,1.0,0.0122192246779934,0.3202837833328603,1.0027507266572648e-07
0.01,1.0,0.0122192246779934,0.3598226062857105,9.295320561932418e-08
0.01,1.0,0.0122192246779934,0.4042424709954335,8.667397502029966e-08
0.01,1.0,0.0122192246779934,0.4541459388650518,8.134320522523874e-08
0.01,1.0,0.0122192246779934,0.5102099571075231,7.687747577659174e-08
0.01,1.0,0.0122192246779934,0.573195041625182,7.31000369070031e-08
0.01,1.0,0.0122192246779934,0.6439555935096224,6.974235808166325e-08
0.01,1.0,0.0122192246779934,0.7234514891067266,6.641355353695624e-08
0.01,1.0,0.0122192246779934,0.8127611008676167,6.279668509042213e-08
0.01,1.0,0.0122192246779934,0.9130959256151152,5.8690282232501454e-08
0.01,1.0,0.0122192246779934,1.0258170186601063,5.4003011243664404e-08
0.01,1.0,0.0122192246779934,1.1524534566987763,4.875498951902863e-08
0.01,1.0,0.0122192246779934,1.294723079942415,4.310137436043672e-08
0.01,1.0,0.0122192246779934,1.4545557948495271,3.728713008612886e-08
0.01,1.0,0.0122192246779934,1.6341197535649394,3.170422415065134e-08
0.01,1.0,0.0122192246779934,1.835850765193496,2.6717752293126973e-08
0.01,1.0,0.0122192246779934,2.062485337876194,2.242807101375461e-08
0.01,1.0,0.0122192246779934,2.3170977998889395,1.848764737356181e-08
0.01,1.0,0.0122192246779934,2.6031420033166066,1.4894243476553523e-08
0.01,1.0,0.0122192246779934,2.9244981760182918,1.1845557258583313e-08
0.01,1.0,0.0122192246779934,3.285525557436941,9.465614702346572e-09
0.01,1.0,0.0122192246779934,3.6911215322651687,7.571438433030491e-09
0.01,1.0,0.0122192246779934,4.1467880641233,5.928850785538975e-09
0.01,1.0,0.0122192246779934,4.658706330431421,4.585017355312093e-09
0.01,1.0,0.0122192246779934,5.233820570907402,3.594822327125504e-09
0.01,1.0,0.0122192246779934,5.879932287106996,2.817741329639865e-09
0.01,1.0,0.0122192246779934,6.605806070835402,2.15985712345582e-09
0.01,1.0,0.0122192246779934,7.421288497006765,1.6557380583404178e-09
0.01,1.0,0.0122192246779934,8.337441693749241,1.297862032335301e-09
0.01,1.0,0.0122192246779934,9.366693401651878,9.96565016340409e-10
0.01,1.0,0.0122192246779934,10.523005557727087,7.558780759266079e-10
0.01,1.0,0.0122192246779934,11.822063690952728,5.913868295161424e-10
0.01,1.0,0.0122192246779934,13.281489698569583,4.57026126644438e-10
0.01,1.0,0.0122192246779934,14.921080889473224,3.463116346748113e-10
0.01,1.0,0.0122192246779934,16.763078537355728,2.71939780872944e-10
0.01,1.0,0.0122192246779934,18.83246958655666,2.124807999844606e-10
0.01,1.0,0.0122192246779934,21.157325603303395,1.6224362646450127e-10
0.01,1.0,0.0122192246779934,23.769183570259635,1.2920751913605036e-10
0.01,1.0,0.0122192246779934,26.70347368991138,1.0260679840419155e-10
0.01,1.0,0.0122192246779934,30.0,8.022193360029702e-11
0.01,1.0,0.013063459418654,0.1,2.220470701764997e-07
0.01,1.0,0.013063459418654,0.1123449344020514,2.0647436955271056e-07
0.01,1.0,0.013063459418654,0.1262138428580125,1.9179740044871036e-07
0.01,1.0,0.013063459418654,0.1417948589651424,1.777311789677363e-07
0.01,1.0,0.013063459418654,0.1592993412898707,1.642356653240223e-07
0.01,1.0,0.013063459418654,0.1789647404750054,1.5139957048802644e-07
0.01,1.0,0.013063459418654,0.2010578202894464,1.3932152966882256e-07
0.01,1.0,0.013063459418654,0.2258782763143731,1.2812320130466068e-07
0.01,1.0,0.013063459418654,0.2537628013538671,1.179283314891627e-07
0.01,1.0,0.013063459418654,0.2850896527178103,1.0867952163504473e-07
0.01,1.0,0.013063459418654,0.3202837833328603,1.0043759741404479e-07
0.01,1.0,0.013063459418654,0.3598226062857105,9.319685290931964e-08
0.01,1.0,0.013063459418654,0.4042424709954335,8.697785904559514e-08
0.01,1.0,0.013063459418654,0.4541459388650518,8.16910629635271e-08
0.01,1.0,0.013063459418654,0.5102099571075231,7.72548613826336e-08
0.01,1.0,0.013063459418654,0.573195041625182,7.349756061572042e-08
0.01,1.0,0.013063459418654,0.6439555935096224,7.015162170902131e-08
0.01,1.0,0.013063459418654,0.7234514891067266,6.683096344201368e-08
0.01,1.0,0.013063459418654,0.8127611008676167,6.321722175473579e-08
0.01,1.0,0.013063459418654,0.9130959256151152,5.910521942885802e-08
0.01,1.0,0.013063459418654,1.0258170186601063,5.440368728660033e-08
0.01,1.0,0.013063459418654,1.1524534566987763,4.9130554014698584e-08
0.01,1.0,0.013063459418654,1.294723079942415,4.3439338369763754e-08
0.01,1.0,0.013063459418654,1.4545557948495271,3.757106771038693e-08
0.01,1.0,0.013063459418654,1.6341197535649394,3.191937009016063e-08
0.01,1.0,0.013063459418654,1.835850765193496,2.6856722724448752e-08
0.01,1.0,0.013063459418654,2.062485337876194,2.251044363105853e-08
0.01,1.0,0.013063459418654,2.3170977998889395,1.8538133553618e-08
0.01,1.0,0.013063459418654,2.6031420033166066,1.491706525562882e-08
0.01,1.0,0.013063459418654,2.9244981760182918,1.1846804498835387e-08
0.01,1.0,0.013063459418654,3.285525557436941,9.454819764077652e-09
0.01,1.0,0.013063459418654,3.6911215322651687,7.567918556348581e-09
0.01,1.0,0.013063459418654,4.1467880641233,5.931829653355014e-09
0.01,1.0,0.013063459418654,4.658706330431421,4.588799597113674e-09
0.01,1.0,0.013063459418654,5.233820570907402,3.5956803023107967e-09
0.01,1.0,0.013063459418654,5.879932287106996,2.8198085551114186e-09
0.01,1.0,0.013063459418654,6.605806070835402,2.16215958393605e-09
0.01,1.0,0.013063459418654,7.421288497006765,1.6563162470213712e-09
0.01,1.0,0.013063459418654,8.337441693749241,1.2979326381010558e-09
0.01,1.0,0.013063459418654,9.366693401651878,9.97098056618235e-10
0.01,1.0,0.013063459418654,10.523005557727087,7.558713891498911e-10
0.01,1.0,0.013063459418654,11.822063690952728,5.910594044116809e-10
0.01,1.0,0.013063459418654,13.281489698569583,4.571296380811755e-10
0.01,1.0,0.013063459418654,14.921080889473224,3.463505437779465e-10
0.01,1.0,0.013063459418654,16.763078537355728,2.717243788558711e-10
0.01,1.0,0.013063459418654,18.83246958655666,2.1251179352280009e-10
0.01,1.0,0.013063459418654,21.157325603303395,1.62265258331445e-10
0.01,1.0,0.013063459418654,23.769183570259635,1.2913672511559463e-10
0.01,1.0,0.013063459418654,26.70347368991138,1.0261993528240372e-10
0.01,1.0,0.013063459418654,30.0,8.022384306458541e-11
0.01,1.0,0.0139660229253468,0.1,2.1833824226548266e-07
0.01,1.0,0.0139660229253468,0.1123449344020514,2.0345171499174224e-07
0.01,1.0,0.0139660229253468,0.1262138428580125,1.893551610633184e-07
0.01,1.0,0.0139660229253468,0.1417948589651424,1.757494297190886e-07
0.01,1.0,0.0139660229253468,0.1592993412898707,1.6264924326639903e-07
0.01,1.0,0.0139660229253468,0.1789647404750054,1.501168287321381e-07
0.01,1.0,0.0139660229253468,0.2010578202894464,1.3828075667140202e-07
0.01,1.0,0.0139660229253468,0.2258782763143731,1.2726933040326e-07
0.01,1.0,0.0139660229253468,0.2537628013538671,1.1723327665296667e-07
0.01,1.0,0.0139660229253468,0.2850896527178103,1.0811762558725646e-07
0.01,1.0,0.0139660229253468,0.3202837833328603,9.999126683136731e-08
0.01,1.0,0.0139660229253468,0.3598226062857105,9.283845148570976e-08
0.01,1.0,0.0139660229253468,0.4042424709954335,8.6686001398557e-08
0.01,1.0,0.0139660229253468,0.4541459388650518,8.144834306725259e-08
0.01,1.0,0.0139660229253468,0.5102099571075231,7.704501998324186e-08
0.01,1.0,0.0139660229253468,0.573195041625182,7.331181067416578e-08
0.01,1.0,0.0139660229253468,0.6439555935096224,6.99825093007542e-08
0.01,1.0,0.0139660229253468,0.7234514891067266,6.667397173008928e-08
