eps2,cos_theta,m(GeV),Energy,flux_differential
1e-05,1.0,0.01,0.1,2.3354348069952927e-10
1e-05,1.0,0.01,0.1123449344020514,2.1551995240583874e-10
1e-05,1.0,0.01,0.1262138428580125,1.988362915886593e-10
1e-05,1.0,0.01,0.1417948589651424,1.8322203055380002e-10
1e-05,1.0,0.01,0.1592993412898707,1.684176869245569e-10
1e-05,1.0,0.01,0.1789647404750054,1.546109411249343e-10
1e-05,1.0,0.01,0.2010578202894464,1.4175577434509245e-10
1e-05,1.0,0.01,0.2258782763143731,1.299482798216986e-10
1e-05,1.0,0.01,0.2537628013538671,1.1924549940212392e-10
1e-05,1.0,0.01,0.2850896527178103,1.0954666641621641e-10
1e-05,1.0,0.01,0.3202837833328603,1.0093630485497068e-10
1e-05,1.0,0.01,0.3598226062857105,9.341179752133532e-11
1e-05,1.0,0.01,0.4042424709954335,8.698320052432225e-11
1e-05,1.0,0.01,0.4541459388650518,8.154842178562034e-11
1e-05,1.0,0.01,0.5102099571075231,7.70071265171132e-11
1e-05,1.0,0.01,0.573195041625182,7.31817803252808e-11
1e-05,1.0,0.01,0.6439555935096224,6.978764142112743e-11
1e-05,1.0,0.01,0.7234514891067266,6.642329355789745e-11
1e-05,1.0,0.01,0.8127611008676167,6.276961005774903e-11
1e-05,1.0,0.01,0.9130959256151152,5.862814918186169e-11
1e-05,1.0,0.01,1.0258170186601063,5.3906742609960707e-11
1e-05,1.0,0.01,1.1524534566987763,4.8628467488809986e-11
1e-05,1.0,0.01,1.294723079942415,4.2959083455193026e-11
1e-05,1.0,0.01,1.4545557948495271,3.715301955704458e-11
1e-05,1.0,0.01,1.6341197535649394,3.1611099460606085e-11
1e-05,1.0,0.01,1.835850765193496,2.6687176441476166e-11
1e-05,1.0,0.01,2.062485337876194,2.241604331060041e-11
1e-05,1.0,0.01,2.3170977998889395,1.845344315627156e-11
1e-05,1.0,0.01,2.6031420033166066,1.4856384761309578e-11
1e-05,1.0,0.01,2.9244981760182918,1.1824354737923188e-11
1e-05,1.0,0.01,3.285525557436941,9.467552068872841e-12
1e-05,1.0,0.01,3.6911215322651687,7.565666504365083e-12
1e-05,1.0,0.01,4.1467880641233,5.916831837962092e-12
1e-05,1.0,0.01,4.658706330431421,4.578272005177675e-12
1e-05,1.0,0.01,5.233820570907402,3.5958224679139546e-12
1e-05,1.0,0.01,5.879932287106996,2.8148041419544856e-12
1e-05,1.0,0.01,6.605806070835402,2.155344481455338e-12
1e-05,1.0,0.01,7.421288497006765,1.6562778222427183e-12
1e-05,1.0,0.01,8.337441693749241,1.2979538896635066e-12
1e-05,1.0,0.01,9.366693401651878,9.953951272651469e-13
1e-05,1.0,0.01,10.523005557727087,7.5586449287339e-13
1e-05,1.0,0.01,11.822063690952728,5.920024941060632e-13
1e-05,1.0,0.01,13.281489698569583,4.566057050504629e-13
1e-05,1.0,0.01,14.921080889473224,3.46102354587755e-13
1e-05,1.0,0.01,16.763078537355728,2.72334672991068e-13
1e-05,1.0,0.01,18.83246958655666,2.1230784130392545e-13
1e-05,1.0,0.01,21.157325603303395,1.6218679201706914e-13
1e-05,1.0,0.01,23.769183570259635,1.2936984074559678e-13
1e-05,1.0,0.01,26.70347368991138,1.025506713392463e-13
1e-05,1.0,0.01,30.0,8.018402136559764e-14
1e-05,1.0,0.0106909069625186,0.1,2.3097805798186349e-10
1e-05,1.0,0.0106909069625186,0.1123449344020514,2.135063778802851e-10
1e-05,1.0,0.0106909069625186,0.1262138428580125,1.9726751749046321e-10
1e-05,1.0,0.0106909069625186,0.1417948589651424,1.819948056443671e-10
1e-05,1.0,0.0106909069625186,0.1592993412898707,1.6747537129934924e-10
1e-05,1.0,0.0106909069625186,0.1789647404750054,1.5387883822950793e-10
1e-05,1.0,0.0106909069625186,0.2010578202894464,1.4119334867871519e-10
1e-05,1.0,0.0106909069625186,0.2258782763143731,1.2951635388245666e-10
1e-05,1.0,0.0106909069625186,0.2537628013538671,1.1892379670970474e-10
1e-05,1.0,0.0106909069625186,0.2850896527178103,1.0932266118116183e-10
1e-05,1.0,0.0106909069625186,0.3202837833328603,1.0079364217344764e-10
1e-05,1.0,0.0106909069625186,0.3598226062857105,9.332924478578072e-11
1e-05,1.0,0.0106909069625186,0.4042424709954335,8.694579632807151e-11
1e-05,1.0,0.0106909069625186,0.4541459388650518,8.154169010405904e-11
1e-05,1.0,0.0106909069625186,0.5102099571075231,7.70228391989759e-11
1e-05,1.0,0.0106909069625186,0.573195041625182,7.321147205258203e-11
1e-05,1.0,0.0106909069625186,0.6439555935096224,6.982826937981861e-11
1e-05,1.0,0.0106909069625186,0.7234514891067266,6.647442971064324e-11
1e-05,1.0,0.0106909069625186,0.8127611008676167,6.283185236659462e-11
1e-05,1.0,0.0106909069625186,0.9130959256151152,5.870096412514262e-11
1e-05,1.0,0.0106909069625186,1.0258170186601063,5.398912326817504e-11
1e-05,1.0,0.0106909069625186,1.1524534566987763,4.8718600530202876e-11
1e-05,1.0,0.0106909069625186,1.294723079942415,4.305137012929741e-11
1e-05,1.0,0.0106909069625186,1.4545557948495271,3.723858956786069e-11
1e-05,1.0,0.0106909069625186,1.6341197535649394,3.167836459761069e-11
1e-05,1.0,0.0106909069625186,1.835850765193496,2.6728703255691333e-11
1e-05,1.0,0.0106909069625186,2.062485337876194,2.2445971372446363e-11
1e-05,1.0,0.0106909069625186,2.3170977998889395,1.848409319869557e-11
1e-05,1.0,0.0106909069625186,2.6031420033166066,1.4882684652157095e-11
1e-05,1.0,0.0106909069625186,2.9244981760182918,1.1841415801837845e-11
1e-05,1.0,0.0106909069625186,3.285525557436941,9.475780178371336e-12
1e-05,1.0,0.0106909069625186,3.6911215322651687,7.574607840443154e-12
1e-05,1.0,0.0106909069625186,4.1467880641233,5.926602047036706e-12
1e-05,1.0,0.0106909069625186,4.658706330431421,4.5849137669624894e-12
1e-05,1.0,0.0106909069625186,5.233820570907402,3.599134161988619e-12
1e-05,1.0,0.0106909069625186,5.879932287106996,2.81832380174556e-12
1e-05,1.0,0.0106909069625186,6.605806070835402,2.158502034644869e-12
1e-05,1.0,0.0106909069625186,7.421288497006765,1.6571106461455118e-12
1e-05,1.0,0.0106909069625186,8.337441693749241,1.298574647968604e-12
1e-05,1.0,0.0106909069625186,9.366693401651878,9.959831980965007e-13
1e-05,1.0,0.0106909069625186,10.523005557727087,7.5592389732256e-13
1e-05,1.0,0.0106909069625186,11.822063690952728,5.917944704485399e-13
1e-05,1.0,0.0106909069625186,13.281489698569583,4.567289627095294e-13
1e-05,1.0,0.0106909069625186,14.921080889473224,3.4616584203885634e-13
1e-05,1.0,0.0106909069625186,16.763078537355728,2.7223182829049594e-13
1e-05,1.0,0.0106909069625186,18.83246958655666,2.1235350317713613e-13
1e-05,1.0,0.0106909069625186,21.157325603303395,1.622015022262693e-13
1e-05,1.0,0.0106909069625186,23.769183570259635,1.29317304664699e-13
1e-05,1.0,0.0106909069625186,26.70347368991138,1.0256942155651029e-13
1e-05,1.0,0.0106909069625186,30.0,8.01978938553713e-14
1e-05,1.0,0.0114295491681229,0.1,2.2812898216917677e-10
1e-05,1.0,0.0114295491681229,0.1123449344020514,2.112916610274545e-10
1e-05,1.0,0.0114295491681229,0.1262138428580125,1.9558553124079678e-10
1e-05,1.0,0.0114295491681229,0.1417948589651424,1.8075051865861325e-10
1e-05,1.0,0.0114295491681229,0.1592993412898707,1.6659242226208562e-10
1e-05,1.0,0.0114295491681229,0.1789647404750054,1.5326113053856134e-10
1e-05,1.0,0.0114295491681229,0.2010578202894464,1.4078601513897487e-10
1e-05,1.0,0.0114295491681229,0.2258782763143731,1.292635736021054e-10
1e-05,1.0,0.0114295491681229,0.2537628013538671,1.1879839428827879e-10
1e-05,1.0,0.0114295491681229,0.2850896527178103,1.0930367778626552e-10
1e-05,1.0,0.0114295491681229,0.3202837833328603,1.0086261152124001e-10
1e-05,1.0,0.0114295491681229,0.3598226062857105,9.34650683151813e-11
1e-05,1.0,0.0114295491681229,0.4042424709954335,8.713182396169411e-11
1e-05,1.0,0.0114295491681229,0.4541459388650518,8.17618590268499e-11
1e-05,1.0,0.0114295491681229,0.5102099571075231,7.726856597230124e-11
1e-05,1.0,0.0114295491681229,0.573195041625182,7.347267159200815e-11
1e-05,1.0,0.0114295491681229,0.6439555935096224,7.009817568662581e-11
1e-05,1.0,0.0114295491681229,0.7234514891067266,6.674361617922623e-11
1e-05,1.0,0.0114295491681229,0.8127611008676167,6.308835839706496e-11
1e-05,1.0,0.0114295491681229,0.9130959256151152,5.892903929761271e-11
1e-05,1.0,0.0114295491681229,1.0258170186601063,5.417502191400733e-11
1e-05,1.0,0.0114295491681229,1.1524534566987763,4.885196685699281e-11
1e-05,1.0,0.0114295491681229,1.294723079942415,4.312520681288587e-11
1e-05,1.0,0.0114295491681229,1.4545557948495271,3.7254745649172275e-11
1e-05,1.0,0.0114295491681229,1.6341197535649394,3.1645083385183076e-11
1e-05,1.0,0.0114295491681229,1.835850765193496,2.6665973701813263e-11
1e-05,1.0,0.0114295491681229,2.062485337876194,2.2390863466410887e-11
1e-05,1.0,0.0114295491681229,2.3170977998889395,1.845372698466801e-11
1e-05,1.0,0.0114295491681229,2.6031420033166066,1.4867955654304328e-11
1e-05,1.0,0.0114295491681229,2.9244981760182918,1.1831586415744615e-11
1e-05,1.0,0.0114295491681229,3.285525557436941,9.46421961935468e-12
1e-05,1.0,0.0114295491681229,3.6911215322651687,7.569213457449985e-12
1e-05,1.0,0.0114295491681229,4.1467880641233,5.925779692159145e-12
1e-05,1.0,0.0114295491681229,4.658706330431421,4.5842748953889465e-12
1e-05,1.0,0.0114295491681229,5.233820570907402,3.5968983782267036e-12
1e-05,1.0,0.0114295491681229,5.879932287106996,2.8179601261079906e-12
1e-05,1.0,0.0114295491681229,6.605806070835402,2.1592125895009034e-12
1e-05,1.0,0.0114295491681229,7.421288497006765,1.6563714640625403e-12
1e-05,1.0,0.0114295491681229,8.337441693749241,1.2982668551785776e-12
1e-05,1.0,0.0114295491681229,9.366693401651878,9.96259540567696e-13
1e-05,1.0,0.0114295491681229,10.523005557727087,7.558953503956212e-13
1e-05,1.0,0.0114295491681229,11.822063690952728,5.916040839903369e-13
1e-05,1.0,0.0114295491681229,13.281489698569583,4.568772624868354e-13
1e-05,1.0,0.0114295491681229,14.921080889473224,3.462396500841918e-13
1e-05,1.0,0.0114295491681229,16.763078537355728,2.720993165404279e-13
1e-05,1.0,0.0114295491681229,18.83246958655666,2.1241691855831259e-13
1e-05,1.0,0.0114295491681229,21.157325603303395,1.6222018897350197e-13
1e-05,1.0,0.0114295491681229,23.769183570259635,1.2926388029099242e-13
1e-05,1.0,0.0114295491681229,26.70347368991138,1.025886222295361e-13
1e-05,1.0,0.0114295491681229,30.0,8.021278862422819e-14
1e-05,1.0,0.0122192246779934,0.1,2.2508450314474925e-10
1e-05,1.0,0.0122192246779934,0.1123449344020514,2.0880768386659545e-10
1e-05,1.0,0.0122192246779934,0.1262138428580125,1.9354352523569172e-10
1e-05,1.0,0.0122192246779934,0.1417948589651424,1.7903004460744174e-10
1e-05,1.0,0.0122192246779934,0.1592993412898707,1.651462650209295e-10
1e-05,1.0,0.0122192246779934,0.1789647404750054,1.5202138961097564e-10
1e-05,1.0,0.0122192246779934,0.2010578202894464,1.3971619032768573e-10
1e-05,1.0,0.0122192246779934,0.2258782763143731,1.2833985514345922e-10
1e-05,1.0,0.0122192246779934,0.2537628013538671,1.179994795220295e-10
1e-05,1.0,0.0122192246779934,0.2850896527178103,1.0862155352874207e-10
1e-05,1.0,0.0122192246779934,0.3202837833328603,1.002750726657265e-10
1e-05,1.0,0.0122192246779934,0.3598226062857105,9.29532056193242e-11
1e-05,1.0,0.0122192246779934,0.4042424709954335,8.667397502029967e-11
1e-05,1.0,0.0122192246779934,0.4541459388650518,8.134320522523874e-11
1e-05,1.0,0.0122192246779934,0.5102099571075231,7.687747577659174e-11
1e-05,1.0,0.0122192246779934,0.573195041625182,7.310003690700311e-11
1e-05,1.0,0.0122192246779934,0.6439555935096224,6.974235808166324e-11
1e-05,1.0,0.0122192246779934,0.7234514891067266,6.641355353695625e-11
1e-05,1.0,0.0122192246779934,0.8127611008676167,6.279668509042214e-11
1e-05,1.0,0.0122192246779934,0.9130959256151152,5.869028223250146e-11
1e-05,1.0,0.0122192246779934,1.0258170186601063,5.40030112436644e-11
1e-05,1.0,0.0122192246779934,1.1524534566987763,4.875498951902863e-11
1e-05,1.0,0.0122192246779934,1.294723079942415,4.310137436043673e-11
1e-05,1.0,0.0122192246779934,1.4545557948495271,3.728713008612886e-11
1e-05,1.0,0.0122192246779934,1.6341197535649394,3.170422415065134e-11
1e-05,1.0,0.0122192246779934,1.835850765193496,2.6717752293126976e-11
1e-05,1.0,0.0122192246779934,2.062485337876194,2.2428071013754613e-11
1e-05,1.0,0.0122192246779934,2.3170977998889395,1.848764737356181e-11
1e-05,1.0,0.0122192246779934,2.6031420033166066,1.4894243476553524e-11
1e-05,1.0,0.0122192246779934,2.9244981760182918,1.1845557258583315e-11
1e-05,1.0,0.0122192246779934,3.285525557436941,9.465614702346573e-12
1e-05,1.0,0.0122192246779934,3.6911215322651687,7.571438433030493e-12
1e-05,1.0,0.0122192246779934,4.1467880641233,5.928850785538975e-12
1e-05,1.0,0.0122192246779934,4.658706330431421,4.585017355312092e-12
1e-05,1.0,0.0122192246779934,5.233820570907402,3.5948223271255044e-12
1e-05,1.0,0.0122192246779934,5.879932287106996,2.8177413296398653e-12
1e-05,1.0,0.0122192246779934,6.605806070835402,2.1598571234558202e-12
1e-05,1.0,0.0122192246779934,7.421288497006765,1.6557380583404177e-12
1e-05,1.0,0.0122192246779934,8.337441693749241,1.297862032335301e-12
1e-05,1.0,0.0122192246779934,9.366693401651878,9.96565016340409e-13
1e-05,1.0,0.0122192246779934,10.523005557727087,7.55878075926608e-13
1e-05,1.0,0.0122192246779934,11.822063690952728,5.913868295161424e-13
1e-05,1.0,0.0122192246779934,13.281489698569583,4.57026126644438e-13
1e-05,1.0,0.0122192246779934,14.921080889473224,3.4631163467481137e-13
1e-05,1.0,0.0122192246779934,16.763078537355728,2.7193978087294405e-13
1e-05,1.0,0.0122192246779934,18.83246958655666,2.1248079998446063e-13
1e-05,1.0,0.0122192246779934,21.157325603303395,1.6224362646450126e-13
1e-05,1.0,0.0122192246779934,23.769183570259635,1.2920751913605037e-13
1e-05,1.0,0.0122192246779934,26.70347368991138,1.0260679840419156e-13
1e-05,1.0,0.0122192246779934,30.0,8.022193360029703e-14
1e-05,1.0,0.013063459418654,0.1,2.220470701764997e-10
1e-05,1.0,0.013063459418654,0.1123449344020514,2.0647436955271058e-10
1e-05,1.0,0.013063459418654,0.1262138428580125,1.9179740044871038e-10
1e-05,1.0,0.013063459418654,0.1417948589651424,1.7773117896773632e-10
1e-05,1.0,0.013063459418654,0.1592993412898707,1.6423566532402233e-10
