eps2,cos_theta,m(GeV),Energy,flux_differential
0.001,1.0,0.01,0.1,2.3354348069952924e-08
0.001,1.0,0.01,0.1123449344020514,2.155199524058387e-08
0.001,1.0,0.01,0.1262138428580125,1.9883629158865928e-08
0.001,1.0,0.01,0.1417948589651424,1.8322203055380002e-08
0.001,1.0,0.01,0.1592993412898707,1.684176869245569e-08
0.001,1.0,0.01,0.1789647404750054,1.546109411249343e-08
0.001,1.0,0.01,0.2010578202894464,1.4175577434509244e-08
0.001,1.0,0.01,0.2258782763143731,1.2994827982169859e-08
0.001,1.0,0.01,0.2537628013538671,1.1924549940212391e-08
0.001,1.0,0.01,0.2850896527178103,1.0954666641621641e-08
0.001,1.0,0.01,0.3202837833328603,1.0093630485497068e-08
0.001,1.0,0.01,0.3598226062857105,9.341179752133531e-09
0.001,1.0,0.01,0.4042424709954335,8.698320052432225e-09
0.001,1.0,0.01,0.4541459388650518,8.154842178562033e-09
0.001,1.0,0.01,0.5102099571075231,7.700712651711318e-09
0.001,1.0,0.01,0.573195041625182,7.318178032528079e-09
0.001,1.0,0.01,0.6439555935096224,6.978764142112743e-09
0.001,1.0,0.01,0.7234514891067266,6.642329355789746e-09
0.001,1.0,0.01,0.8127611008676167,6.2769610057749024e-09
0.001,1.0,0.01,0.9130959256151152,5.862814918186169e-09
0.001,1.0,0.01,1.0258170186601063,5.3906742609960705e-09
0.001,1.0,0.01,1.1524534566987763,4.8628467488809986e-09
0.001,1.0,0.01,1.294723079942415,4.295908345519302e-09
0.001,1.0,0.01,1.4545557948495271,3.715301955704458e-09
0.001,1.0,0.01,1.6341197535649394,3.1611099460606082e-09
0.001,1.0,0.01,1.835850765193496,2.6687176441476165e-09
0.001,1.0,0.01,2.062485337876194,2.241604331060041e-09
0.001,1.0,0.01,2.3170977998889395,1.845344315627156e-09
0.001,1.0,0.01,2.6031420033166066,1.4856384761309577e-09
0.001,1.0,0.01,2.9244981760182918,1.182435473792319e-09
0.001,1.0,0.01,3.285525557436941,9.46755206887284e-10
0.001,1.0,0.01,3.6911215322651687,7.565666504365082e-10
0.001,1.0,0.01,4.1467880641233,5.916831837962091e-10
0.001,1.0,0.01,4.658706330431421,4.578272005177675e-10
0.001,1.0,0.01,5.233820570907402,3.595822467913954e-10
0.001,1.0,0.01,5.879932287106996,2.8148041419544855e-10
0.001,1.0,0.01,6.605806070835402,2.1553444814553378e-10
0.001,1.0,0.01,7.421288497006765,1.656277822242718e-10
0.001,1.0,0.01,8.337441693749241,1.2979538896635066e-10
0.001,1.0,0.01,9.366693401651878,9.953951272651469e-11
0.001,1.0,0.01,10.523005557727087,7.5586449287339e-11
0.001,1.0,0.01,11.822063690952728,5.920024941060631e-11
0.001,1.0,0.01,13.281489698569583,4.5660570505046283e-11
0.001,1.0,0.01,14.921080889473224,3.4610235458775503e-11
0.001,1.0,0.01,16.763078537355728,2.72334672991068e-11
0.001,1.0,0.01,18.83246958655666,2.1230784130392546e-11
0.001,1.0,0.01,21.157325603303395,1.6218679201706913e-11
0.001,1.0,0.01,23.769183570259635,1.2936984074559677e-11
0.001,1.0,0.01,26.70347368991138,1.025506713392463e-11
0.001,1.0,0.01,30.0,8.018402136559765e-12
0.001,1.0,0.0106909069625186,0.1,2.3097805798186347e-08
0.001,1.0,0.0106909069625186,0.1123449344020514,2.135063778802851e-08
0.001,1.0,0.0106909069625186,0.1262138428580125,1.972675174904632e-08
0.001,1.0,0.0106909069625186,0.1417948589651424,1.8199480564436707e-08
0.001,1.0,0.0106909069625186,0.1592993412898707,1.674753712993492e-08
0.001,1.0,0.0106909069625186,0.1789647404750054,1.5387883822950792e-08
