eps2,cos_theta,m(GeV),Energy,flux_differential
0.0001,1.0,0.01,0.1,2.3354348069952923e-09
0.0001,1.0,0.01,0.1123449344020514,2.1551995240583872e-09
0.0001,1.0,0.01,0.1262138428580125,1.988362915886593e-09
0.0001,1.0,0.01,0.1417948589651424,1.832220305538e-09
0.0001,1.0,0.01,0.1592993412898707,1.684176869245569e-09
0.0001,1.0,0.01,0.1789647404750054,1.546109411249343e-09
0.0001,1.0,0.01,0.2010578202894464,1.4175577434509244e-09
0.0001,1.0,0.01,0.2258782763143731,1.299482798216986e-09
0.0001,1.0,0.01,0.2537628013538671,1.1924549940212391e-09
0.0001,1.0,0.01,0.2850896527178103,1.0954666641621641e-09
0.0001,1.0,0.01,0.3202837833328603,1.0093630485497068e-09
0.0001,1.0,0.01,0.3598226062857105,9.34117975213353e-10
0.0001,1.0,0.01,0.4042424709954335,8.698320052432225e-10
0.0001,1.0,0.01,0.4541459388650518,8.154842178562034e-10
0.0001,1.0,0.01,0.5102099571075231,7.700712651711319e-10
0.0001,1.0,0.01,0.573195041625182,7.318178032528079e-10
0.0001,1.0,0.01,0.6439555935096224,6.978764142112743e-10
0.0001,1.0,0.01,0.7234514891067266,6.642329355789746e-10
0.0001,1.0,0.01,0.8127611008676167,6.276961005774903e-10
0.0001,1.0,0.01,0.9130959256151152,5.862814918186168e-10
0.0001,1.0,0.01,1.0258170186601063,5.390674260996071e-10
0.0001,1.0,0.01,1.1524534566987763,4.862846748880999e-10
0.0001,1.0,0.01,1.294723079942415,4.2959083455193023e-10
0.0001,1.0,0.01,1.4545557948495271,3.715301955704458e-10
0.0001,1.0,0.01,1.6341197535649394,3.161109946060608e-10
0.0001,1.0,0.01,1.835850765193496,2.6687176441476163e-10
0.0001,1.0,0.01,2.062485337876194,2.2416043310600406e-10
0.0001,1.0,0.01,2.3170977998889395,1.845344315627156e-10
0.0001,1.0,0.01,2.6031420033166066,1.4856384761309578e-10
0.0001,1.0,0.01,2.9244981760182918,1.182435473792319e-10
0.0001,1.0,0.01,3.285525557436941,9.46755206887284e-11
0.0001,1.0,0.01,3.6911215322651687,7.565666504365082e-11
0.0001,1.0,0.01,4.1467880641233,5.916831837962092e-11
0.0001,1.0,0.01,4.658706330431421,4.578272005177675e-11
0.0001,1.0,0.01,5.233820570907402,3.595822467913954e-11
0.0001,1.0,0.01,5.879932287106996,2.8148041419544854e-11
0.0001,1.0,0.01,6.605806070835402,2.1553444814553378e-11
0.0001,1.0,0.01,7.421288497006765,1.6562778222427183e-11
0.0001,1.0,0.01,8.337441693749241,1.2979538896635065e-11
0.0001,1.0,0.01,9.366693401651878,9.953951272651469e-12
0.0001,1.0,0.01,10.523005557727087,7.558644928733901e-12
0.0001,1.0,0.01,11.822063690952728,5.920024941060631e-12
